Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	start	stop	gene_id.107	gene_type.107	gene_name.84	gene_id.84	gene_type.84
SQSTM1	27772.65145	0.641953318	0.060080173	10.68494449	1.20E-26	9.89E-24	chr5	179806398	179838078	ENSG00000161011	protein_coding	SQSTM1	ENSG00000161011	protein_coding
PXDN	3485.694258	-0.704248683	0.066305322	-10.62129956	2.37E-26	1.86E-23	chr2	1631887	1744852	ENSG00000130508	protein_coding	PXDN	ENSG00000130508	protein_coding
EXOC5	3751.511786	-0.764430021	0.073720276	-10.36933199	3.42E-25	2.54E-22	chr14	57200507	57269008	ENSG00000070367	protein_coding	EXOC5	ENSG00000070367	protein_coding
LONRF1	570.6057824	-1.218314236	0.119432639	-10.2008483	1.97E-24	1.39E-21	chr8	12721894	12756073	ENSG00000154359	protein_coding	LONRF1	ENSG00000154359	protein_coding
TRIB3	4364.645324	0.758827492	0.075855855	10.00354546	1.47E-23	9.93E-21	chr20	362835	397559	ENSG00000101255	protein_coding	TRIB3	ENSG00000101255	protein_coding
DDIT3	2046.356688	0.705349235	0.070554406	9.997238672	1.57E-23	1.01E-20	chr12	57516588	57520517	ENSG00000175197	protein_coding	DDIT3	ENSG00000175197	protein_coding
NPEPL1	3451.709906	-0.744382781	0.074774115	-9.955086457	2.40E-23	1.48E-20	chr20	58689131	58719238	ENSG00000215440	protein_coding	NPEPL1	ENSG00000215440	protein_coding
SLC49A4	428.0482381	-1.126876078	0.114747588	-9.820477294	9.19E-23	5.45E-20	chr3	122794795	122881139	ENSG00000138463	protein_coding	DIRC2	ENSG00000138463	protein_coding
MLH3	1066.515858	-0.794650109	0.080948293	-9.816761781	9.54E-23	5.45E-20	chr14	75013764	75051532	ENSG00000119684	protein_coding	MLH3	ENSG00000119684	protein_coding
CRTC3	1319.533856	-0.816843187	0.083333156	-9.802139127	1.10E-22	6.07E-20	chr15	90529925	90645345	ENSG00000140577	protein_coding	CRTC3	ENSG00000140577	protein_coding
MOB1A	6417.07026	-0.624209992	0.063814676	-9.781605528	1.35E-22	7.17E-20	chr2	74152528	74178898	ENSG00000114978	protein_coding	MOB1A	ENSG00000114978	protein_coding
CYFIP2	622.5937988	-1.087692976	0.111478865	-9.756943406	1.72E-22	8.83E-20	chr5	157266079	157395595	ENSG00000055163	protein_coding	CYFIP2	ENSG00000055163	protein_coding
SESN2	2469.73191	0.693954192	0.07176688	9.669560583	4.06E-22	2.01E-19	chr1	28259527	28282491	ENSG00000130766	protein_coding	SESN2	ENSG00000130766	protein_coding
LRRC41	1404.09215	-0.839697537	0.0870648	-9.644512287	5.19E-22	2.49E-19	chr1	46261196	46303608	ENSG00000132128	protein_coding	LRRC41	ENSG00000132128	protein_coding
HBEGF	503.4950581	1.038149296	0.10838655	9.578211496	9.87E-22	4.45E-19	chr5	140332843	140346631	ENSG00000113070	protein_coding	HBEGF	ENSG00000113070	protein_coding
CEBPB	10391.55713	0.599730862	0.062782831	9.55246604	1.27E-21	5.54E-19	chr20	50190734	50192689	ENSG00000172216	protein_coding	CEBPB	ENSG00000172216	protein_coding
PTGFRN	1973.238404	-0.732224691	0.07812679	-9.372261263	7.10E-21	2.85E-18	chr1	116910057	116990358	ENSG00000134247	protein_coding	PTGFRN	ENSG00000134247	protein_coding
TMPO	7413.100726	-0.523183846	0.057052966	-9.170142869	4.72E-20	1.80E-17	chr12	98515512	98550379	ENSG00000120802	protein_coding	TMPO	ENSG00000120802	protein_coding
VPS54	1195.850537	-0.807824167	0.089046821	-9.071903512	1.17E-19	4.14E-17	chr2	63892146	64019072	ENSG00000143952	protein_coding	VPS54	ENSG00000143952	protein_coding
ULK2	625.3131306	-0.895008291	0.098908591	-9.048842821	1.44E-19	4.99E-17	chr17	19770829	19867936	ENSG00000083290	protein_coding	ULK2	ENSG00000083290	protein_coding
ZDHHC20	5327.027077	-0.800138393	0.088757373	-9.014894946	1.97E-19	6.66E-17	chr13	21372573	21459370	ENSG00000180776	protein_coding	ZDHHC20	ENSG00000180776	protein_coding
AMZ2	2676.646791	-0.627015215	0.070796032	-8.856643496	8.25E-19	2.45E-16	chr17	68247574	68257164	ENSG00000196704	protein_coding	AMZ2	ENSG00000196704	protein_coding
HYOU1	19863.87521	0.594262313	0.068108676	8.725207231	2.66E-18	7.74E-16	chr11	119044189	119057202	ENSG00000149428	protein_coding	HYOU1	ENSG00000149428	protein_coding
RIN3	329.0591548	-1.223038283	0.140357236	-8.713752949	2.94E-18	8.40E-16	chr14	92513774	92688994	ENSG00000100599	protein_coding	RIN3	ENSG00000100599	protein_coding
TXNRD1	18084.81796	0.549558534	0.063131002	8.705050035	3.17E-18	8.90E-16	chr12	104215779	104350305	ENSG00000198431	protein_coding	TXNRD1	ENSG00000198431	protein_coding
AGPAT3	3314.443274	-0.561250649	0.064568594	-8.692316452	3.55E-18	9.78E-16	chr21	43865186	43986536	ENSG00000160216	protein_coding	AGPAT3	ENSG00000160216	protein_coding
SSH1	1742.808364	-0.698527141	0.080694541	-8.656436158	4.87E-18	1.32E-15	chr12	108778192	108857590	ENSG00000084112	protein_coding	SSH1	ENSG00000084112	protein_coding
SELENON	2229.939609	-0.773884013	0.089486191	-8.648083023	5.24E-18	1.39E-15	chr1	25800176	25818224	ENSG00000162430	protein_coding	SEPN1	ENSG00000162430	protein_coding
CABLES2	1959.861259	-0.635554661	0.073844718	-8.606636772	7.52E-18	1.96E-15	chr20	62388632	62407285	ENSG00000149679	protein_coding	CABLES2	ENSG00000149679	protein_coding
ACADSB	514.5170488	-0.929036374	0.107985593	-8.603336329	7.74E-18	1.98E-15	chr10	123008979	123058311	ENSG00000196177	protein_coding	ACADSB	ENSG00000196177	protein_coding
ZNF618	617.3297581	-0.973471061	0.113364791	-8.587067022	8.92E-18	2.25E-15	chr9	113876282	114056591	ENSG00000157657	protein_coding	ZNF618	ENSG00000157657	protein_coding
ZYG11B	1092.15914	-0.718273334	0.084169262	-8.533677446	1.42E-17	3.51E-15	chr1	52726467	52827342	ENSG00000162378	protein_coding	ZYG11B	ENSG00000162378	protein_coding
ASNS	3962.691939	0.617878079	0.072500899	8.522350553	1.56E-17	3.81E-15	chr7	97852118	97872542	ENSG00000070669	protein_coding	ASNS	ENSG00000070669	protein_coding
ERN1	2746.333351	0.563981207	0.066926932	8.426819909	3.55E-17	8.12E-15	chr17	64039142	64130819	ENSG00000178607	protein_coding	ERN1	ENSG00000178607	protein_coding
POMGNT1	1258.911284	-0.779043783	0.092666016	-8.407006366	4.21E-17	9.33E-15	chr1	46188682	46220305	ENSG00000085998	protein_coding	POMGNT1	ENSG00000085998	protein_coding
ZNF32	359.766251	-1.105360764	0.132043593	-8.371180619	5.70E-17	1.25E-14	chr10	43643859	43648856	ENSG00000169740	protein_coding	ZNF32	ENSG00000169740	protein_coding
ABCB10	520.6716179	-0.921656166	0.110146117	-8.367577446	5.88E-17	1.27E-14	chr1	229516582	229558695	ENSG00000135776	protein_coding	ABCB10	ENSG00000135776	protein_coding
TRAF3IP1	538.0614992	-0.936334769	0.11204506	-8.356769738	6.45E-17	1.37E-14	chr2	238320441	238400900	ENSG00000204104	protein_coding	TRAF3IP1	ENSG00000204104	protein_coding
ZFP30	423.3630133	-1.192655627	0.142950886	-8.343114631	7.24E-17	1.51E-14	chr19	37613749	37692337	ENSG00000120784	protein_coding	ZFP30	ENSG00000120784	protein_coding
MAFF	697.0174634	0.807846655	0.097594167	8.277612104	1.26E-16	2.59E-14	chr22	38200767	38216511	ENSG00000185022	protein_coding	MAFF	ENSG00000185022	protein_coding
SERP1	11950.49691	0.553166126	0.067021551	8.253555974	1.54E-16	3.13E-14	chr3	150541994	150603228	ENSG00000120742	protein_coding	SERP1	ENSG00000120742	protein_coding
CALR	28194.16254	0.484980796	0.058796572	8.248453599	1.60E-16	3.18E-14	chr19	12938578	12944489	ENSG00000179218	protein_coding	CALR	ENSG00000179218	protein_coding
CPLANE1	588.2259949	-0.957819147	0.116266241	-8.238153539	1.75E-16	3.42E-14	chr5	37106228	37249428	ENSG00000197603	protein_coding	C5orf42	ENSG00000197603	protein_coding
H6PD	1264.72553	-0.682801307	0.082953495	-8.231133632	1.85E-16	3.58E-14	chr1	9234775	9271337	ENSG00000049239	protein_coding	H6PD	ENSG00000049239	protein_coding
MXD1	4735.716272	0.591642532	0.071935391	8.224637797	1.96E-16	3.73E-14	chr2	69897688	69942945	ENSG00000059728	protein_coding	MXD1	ENSG00000059728	protein_coding
SAMD11	1103.348715	-0.684690461	0.083338866	-8.215740033	2.11E-16	3.97E-14	chr1	924880	944581	ENSG00000187634	protein_coding	SAMD11	ENSG00000187634	protein_coding
PELI3	322.1976216	-1.073637898	0.131751712	-8.148948352	3.67E-16	6.74E-14	chr11	66466327	66477337	ENSG00000174516	protein_coding	PELI3	ENSG00000174516	protein_coding
DMTN	306.0288772	-1.127848619	0.138625637	-8.135931	4.09E-16	7.41E-14	chr8	22048995	22082527	ENSG00000158856	protein_coding	DMTN	ENSG00000158856	protein_coding
NFKB2	4208.987524	0.515731006	0.063779091	8.086208196	6.16E-16	1.10E-13	chr10	102394110	102402529	ENSG00000077150	protein_coding	NFKB2	ENSG00000077150	protein_coding
SLC39A7	7304.19023	0.474183446	0.058652102	8.084679449	6.23E-16	1.10E-13	chr6	33200445	33204439	ENSG00000112473	protein_coding	SLC39A7	ENSG00000112473	protein_coding
ZFYVE9	666.6633778	-0.823855331	0.101995246	-8.077389515	6.62E-16	1.16E-13	chr1	52142094	52346686	ENSG00000157077	protein_coding	ZFYVE9	ENSG00000157077	protein_coding
GADD45A	1739.044468	0.791058398	0.098802305	8.006477133	1.18E-15	2.02E-13	chr1	67685061	67688338	ENSG00000116717	protein_coding	GADD45A	ENSG00000116717	protein_coding
PDCD7	998.075187	-0.676503231	0.08492703	-7.965699894	1.64E-15	2.74E-13	chr15	65117379	65133836	ENSG00000090470	protein_coding	PDCD7	ENSG00000090470	protein_coding
STRADB	321.4097946	-1.016894109	0.12899541	-7.883180538	3.19E-15	5.21E-13	chr2	201387858	201480846	ENSG00000082146	protein_coding	STRADB	ENSG00000082146	protein_coding
TOP2B	10108.94602	-0.522698211	0.06636859	-7.875686518	3.39E-15	5.48E-13	chr3	25597905	25664907	ENSG00000077097	protein_coding	TOP2B	ENSG00000077097	protein_coding
ZMYND11	5731.196082	-0.583791221	0.074278432	-7.859498477	3.86E-15	6.16E-13	chr10	134465	254637	ENSG00000015171	protein_coding	ZMYND11	ENSG00000015171	protein_coding
BIVM	286.625042	-1.047514382	0.134306547	-7.799429024	6.22E-15	9.73E-13	chr13	102799049	102841535	ENSG00000134897	protein_coding	BIVM	ENSG00000134897	protein_coding
RAB11FIP2	442.4026674	-1.027512843	0.13178085	-7.797133235	6.33E-15	9.81E-13	chr10	118004916	118046603	ENSG00000107560	protein_coding	RAB11FIP2	ENSG00000107560	protein_coding
FAM20C	437.3318268	-0.911016919	0.117161586	-7.775730482	7.50E-15	1.15E-12	chr7	192969	260745	ENSG00000177706	protein_coding	FAM20C	ENSG00000177706	protein_coding
ZFP36L2	9765.760164	-0.457593575	0.05892092	-7.766232671	8.09E-15	1.23E-12	chr2	43222402	43226609	ENSG00000152518	protein_coding	ZFP36L2	ENSG00000152518	protein_coding
NDFIP1	2104.599273	-0.566507641	0.073121308	-7.747504184	9.37E-15	1.41E-12	chr5	142108505	142154443	ENSG00000131507	protein_coding	NDFIP1	ENSG00000131507	protein_coding
DOCK7	1392.862803	-0.63573151	0.082163205	-7.737423435	1.01E-14	1.51E-12	chr1	62454726	62688368	ENSG00000116641	protein_coding	DOCK7	ENSG00000116641	protein_coding
MAVS	6746.242139	-0.459106842	0.059623201	-7.700137435	1.36E-14	2.00E-12	chr20	3846799	3876123	ENSG00000088888	protein_coding	MAVS	ENSG00000088888	protein_coding
MKNK2	3277.210807	0.517379687	0.067653766	7.647463225	2.05E-14	2.96E-12	chr19	2037465	2051244	ENSG00000099875	protein_coding	MKNK2	ENSG00000099875	protein_coding
ZNF189	545.8382343	-0.886640221	0.115963914	-7.645828684	2.08E-14	2.97E-12	chr9	101398873	101410660	ENSG00000136870	protein_coding	ZNF189	ENSG00000136870	protein_coding
HACD3	4819.389583	-0.471370193	0.061726142	-7.636475917	2.23E-14	3.13E-12	chr15	65530418	65578352	ENSG00000074696	protein_coding	HACD3	ENSG00000074696	protein_coding
RCN2	3053.89799	-0.555374789	0.072822895	-7.626376137	2.41E-14	3.29E-12	chr15	76931619	76954392	ENSG00000117906	protein_coding	RCN2	ENSG00000117906	protein_coding
ZNF319	217.4667978	-1.180685992	0.155191186	-7.607944882	2.78E-14	3.76E-12	chr16	57994668	58000453	ENSG00000166188	protein_coding	ZNF319	ENSG00000166188	protein_coding
FAM210B	1183.220857	-0.596945128	0.078492353	-7.605137364	2.85E-14	3.81E-12	chr20	56358915	56368663	ENSG00000124098	protein_coding	FAM210B	ENSG00000124098	protein_coding
SEPTIN8	2573.81428	-0.508861301	0.066924427	-7.603521176	2.88E-14	3.82E-12	chr5	132750817	132807241	ENSG00000164402	protein_coding	SEPT8	ENSG00000164402	protein_coding
ALDH5A1	1685.303675	-0.575686593	0.075902101	-7.584593633	3.34E-14	4.39E-12	chr6	24494852	24537207	ENSG00000112294	protein_coding	ALDH5A1	ENSG00000112294	protein_coding
FBXO44	311.4425041	-1.056620655	0.139803615	-7.557892229	4.10E-14	5.29E-12	chr1	11654375	11663327	ENSG00000132879	protein_coding	FBXO44	ENSG00000132879	protein_coding
NAE1	1239.336728	-0.637668435	0.084615116	-7.536105474	4.84E-14	6.15E-12	chr16	66802875	66873256	ENSG00000159593	protein_coding	NAE1	ENSG00000159593	protein_coding
FOSL2	7785.113416	0.465789846	0.062785904	7.41870096	1.18E-13	1.48E-11	chr2	28392448	28417312	ENSG00000075426	protein_coding	FOSL2	ENSG00000075426	protein_coding
ATMIN	4810.299322	-0.456807404	0.061865652	-7.383861415	1.54E-13	1.89E-11	chr16	81035847	81047358	ENSG00000166454	protein_coding	ATMIN	ENSG00000166454	protein_coding
DUSP16	6180.660818	0.452835751	0.06158453	7.353076339	1.94E-13	2.34E-11	chr12	12474210	12562383	ENSG00000111266	protein_coding	DUSP16	ENSG00000111266	protein_coding
PDGFB	1227.025984	0.632639966	0.086265147	7.333668246	2.24E-13	2.64E-11	chr22	39223359	39244751	ENSG00000100311	protein_coding	PDGFB	ENSG00000100311	protein_coding
DENND10	1226.807498	-0.583712826	0.079738822	-7.320309079	2.47E-13	2.90E-11	chr10	119104086	119137984	ENSG00000119979	protein_coding	FAM45A	ENSG00000119979	protein_coding
TSPAN3	1337.16446	-0.581740581	0.079489557	-7.318452931	2.51E-13	2.91E-11	chr15	77041404	77083984	ENSG00000140391	protein_coding	TSPAN3	ENSG00000140391	protein_coding
FN3K	263.5332536	-1.027271437	0.140475252	-7.312828554	2.62E-13	3.01E-11	chr17	82735575	82751197	ENSG00000167363	protein_coding	FN3K	ENSG00000167363	protein_coding
PCYOX1	2709.835416	-0.503016405	0.069401285	-7.247940747	4.23E-13	4.84E-11	chr2	70257386	70281191	ENSG00000116005	protein_coding	PCYOX1	ENSG00000116005	protein_coding
AGR2	37063.82794	0.573056071	0.079128196	7.242122254	4.42E-13	4.97E-11	chr7	16791811	16833433	ENSG00000106541	protein_coding	AGR2	ENSG00000106541	protein_coding
EIF2AK4	1122.404106	-0.65143544	0.090322806	-7.21230295	5.50E-13	6.15E-11	chr15	39934146	40035591	ENSG00000128829	protein_coding	EIF2AK4	ENSG00000128829	protein_coding
PTGR1	1414.702013	0.599857269	0.083359624	7.196017004	6.20E-13	6.78E-11	chr9	111549722	111599855	ENSG00000106853	protein_coding	PTGR1	ENSG00000106853	protein_coding
MAP4K4	3974.798344	-0.491648498	0.068653395	-7.161313725	7.99E-13	8.67E-11	chr2	101696850	101894689	ENSG00000071054	protein_coding	MAP4K4	ENSG00000071054	protein_coding
C19orf12	464.5641482	-0.789908525	0.111004999	-7.115972536	1.11E-12	1.19E-10	chr19	29698886	29715789	ENSG00000131943	protein_coding	C19orf12	ENSG00000131943	protein_coding
AMER1	377.8100359	-0.875600213	0.123078906	-7.114137129	1.13E-12	1.20E-10	chrX	64185117	64205744	ENSG00000184675	protein_coding	AMER1	ENSG00000184675	protein_coding
LRP3	1308.121372	-0.726267399	0.102161052	-7.109043831	1.17E-12	1.23E-10	chr19	33177603	33208867	ENSG00000130881	protein_coding	LRP3	ENSG00000130881	protein_coding
GCLM	1599.870577	0.557371119	0.078659827	7.085842124	1.38E-12	1.45E-10	chr1	93885205	93909456	ENSG00000023909	protein_coding	GCLM	ENSG00000023909	protein_coding
ZNF511	713.1013315	-0.826599921	0.11676223	-7.079343378	1.45E-12	1.50E-10	chr10	133308475	133313162	ENSG00000198546	protein_coding	ZNF511	ENSG00000198546	protein_coding
DENND1B	915.2026464	-0.774983181	0.10966783	-7.066640966	1.59E-12	1.63E-10	chr1	197504748	197775696	ENSG00000213047	protein_coding	DENND1B	ENSG00000213047	protein_coding
FBXO41	731.0092701	-0.795593761	0.11272117	-7.058068691	1.69E-12	1.72E-10	chr2	73254682	73284431	ENSG00000163013	protein_coding	FBXO41	ENSG00000163013	protein_coding
PTBP3	9149.897948	-0.486514913	0.069275334	-7.022916842	2.17E-12	2.17E-10	chr9	112217716	112333667	ENSG00000119314	protein_coding	PTBP3	ENSG00000119314	protein_coding
RIPOR1	1732.902744	-0.633562192	0.09039038	-7.00917718	2.40E-12	2.36E-10	chr16	67518418	67546788	ENSG00000039523	protein_coding	FAM65A	ENSG00000039523	protein_coding
SEMA3B	7238.51366	0.472701786	0.067657613	6.986675506	2.81E-12	2.74E-10	chr3	50267558	50277546	ENSG00000012171	protein_coding	SEMA3B	ENSG00000012171	protein_coding
TRAPPC13	769.7232204	-0.639228124	0.091503319	-6.985846277	2.83E-12	2.74E-10	chr5	65624716	65666233	ENSG00000113597	protein_coding	TRAPPC13	ENSG00000113597	protein_coding
BPNT2	3060.312912	-0.463672105	0.066390323	-6.984031434	2.87E-12	2.75E-10	chr8	56957933	56993844	ENSG00000104331	protein_coding	IMPAD1	ENSG00000104331	protein_coding
DDIT4	5351.090447	0.43421443	0.062228846	6.977703422	3.00E-12	2.86E-10	chr10	72273920	72276036	ENSG00000168209	protein_coding	DDIT4	ENSG00000168209	protein_coding
CSRNP1	1383.041639	0.600344479	0.086139262	6.969463927	3.18E-12	3.01E-10	chr3	39141855	39154562	ENSG00000144655	protein_coding	CSRNP1	ENSG00000144655	protein_coding
PARN	1389.169067	-0.532580619	0.076487741	-6.962953961	3.33E-12	3.11E-10	chr16	14435701	14632728	ENSG00000140694	protein_coding	PARN	ENSG00000140694	protein_coding
CBFA2T3	3438.682853	-0.56971565	0.082012347	-6.946705866	3.74E-12	3.47E-10	chr16	88874858	88977204	ENSG00000129993	protein_coding	CBFA2T3	ENSG00000129993	protein_coding
IFT57	684.4993688	-0.653102923	0.094061566	-6.943355837	3.83E-12	3.51E-10	chr3	108160812	108222570	ENSG00000114446	protein_coding	IFT57	ENSG00000114446	protein_coding
LIMS1	1766.295547	-0.564303892	0.081385317	-6.933730988	4.10E-12	3.74E-10	chr2	108534355	108687246	ENSG00000169756	protein_coding	LIMS1	ENSG00000169756	protein_coding
SRPRB	3262.440663	0.473458516	0.068472766	6.914552204	4.69E-12	4.23E-10	chr3	133784033	133825772	ENSG00000144867	protein_coding	SRPRB	ENSG00000144867	protein_coding
FAM189B	915.9270064	-0.744301732	0.107901036	-6.898003576	5.27E-12	4.72E-10	chr1	155247205	155255483	ENSG00000160767	protein_coding	FAM189B	ENSG00000160767	protein_coding
ADGRA3	950.7270619	-0.626820252	0.090915557	-6.894532356	5.40E-12	4.81E-10	chr4	22345071	22516054	ENSG00000152990	protein_coding	ADGRA3	ENSG00000152990	protein_coding
PEDS1-UBE2V1	940.8033505	-0.75346904	0.109348511	-6.890528585	5.56E-12	4.92E-10	chr20	50081124	50153637	ENSG00000124208	protein_coding	TMEM189-UBE2V1	ENSG00000124208	protein_coding
CIBAR1	624.8637881	-1.095878475	0.159950452	-6.85136215	7.32E-12	6.43E-10	chr8	93698561	93731527	ENSG00000188343	protein_coding	FAM92A1	ENSG00000188343	protein_coding
INTS2	4126.806597	-0.432137961	0.063104799	-6.847941279	7.49E-12	6.55E-10	chr17	61865367	61928016	ENSG00000108506	protein_coding	INTS2	ENSG00000108506	protein_coding
RAB11FIP5	318.9547523	-0.940417598	0.137640692	-6.832409675	8.35E-12	7.17E-10	chr2	73073382	73156721	ENSG00000135631	protein_coding	RAB11FIP5	ENSG00000135631	protein_coding
ZNF514	493.6319538	-0.742429385	0.108651148	-6.833148076	8.31E-12	7.17E-10	chr2	95147330	95165413	ENSG00000144026	protein_coding	ZNF514	ENSG00000144026	protein_coding
CDC27	4506.012139	-0.440728313	0.064559364	-6.826713949	8.69E-12	7.42E-10	chr17	47117703	47189422	ENSG00000004897	protein_coding	CDC27	ENSG00000004897	protein_coding
SLC37A1	2186.001889	-0.473109958	0.069473229	-6.809960714	9.76E-12	8.24E-10	chr21	42496008	42581440	ENSG00000160190	protein_coding	SLC37A1	ENSG00000160190	protein_coding
HECTD1	10597.80898	-0.426431021	0.062881379	-6.781515123	1.19E-11	9.88E-10	chr14	31100112	31207804	ENSG00000092148	protein_coding	HECTD1	ENSG00000092148	protein_coding
ICA1L	284.4753406	-0.931578086	0.137651508	-6.767656256	1.31E-11	1.07E-09	chr2	202773150	202871985	ENSG00000163596	protein_coding	ICA1L	ENSG00000163596	protein_coding
TWSG1	578.8501492	-0.677703862	0.101094557	-6.703663231	2.03E-11	1.63E-09	chr18	9334767	9402420	ENSG00000128791	protein_coding	TWSG1	ENSG00000128791	protein_coding
ZNF639	1358.926358	-0.580027201	0.086594732	-6.698181124	2.11E-11	1.69E-09	chr3	179322991	179338583	ENSG00000121864	protein_coding	ZNF639	ENSG00000121864	protein_coding
MBTPS2	952.7355175	-0.564700687	0.084865377	-6.654076249	2.85E-11	2.25E-09	chrX	21839636	21885424	ENSG00000012174	protein_coding	MBTPS2	ENSG00000012174	protein_coding
TXNRD3	294.034107	-0.894230936	0.134627724	-6.642249529	3.09E-11	2.43E-09	chr3	126571779	126655155	ENSG00000197763	protein_coding	TXNRD3	ENSG00000197763	protein_coding
B4GALT5	1351.92146	-0.531542949	0.080101487	-6.635868717	3.23E-11	2.52E-09	chr20	49632945	49713878	ENSG00000158470	protein_coding	B4GALT5	ENSG00000158470	protein_coding
R3HDM2	2345.184092	-0.446388283	0.067389547	-6.623998917	3.50E-11	2.72E-09	chr12	57253762	57431005	ENSG00000179912	protein_coding	R3HDM2	ENSG00000179912	protein_coding
SDC4	5253.456356	0.415625717	0.062832151	6.614857378	3.72E-11	2.88E-09	chr20	45325288	45348424	ENSG00000124145	protein_coding	SDC4	ENSG00000124145	protein_coding
AEN	3885.727308	0.439310757	0.066509527	6.60523056	3.97E-11	3.06E-09	chr15	88621296	88632282	ENSG00000181026	protein_coding	AEN	ENSG00000181026	protein_coding
TRANK1	409.1997949	-0.783657927	0.118662882	-6.604069567	4.00E-11	3.06E-09	chr3	36826820	36945057	ENSG00000168016	protein_coding	TRANK1	ENSG00000168016	protein_coding
DOP1A	945.7735762	-0.557079417	0.084628123	-6.582674867	4.62E-11	3.52E-09	chr6	83067666	83171350	ENSG00000083097	protein_coding	DOPEY1	ENSG00000083097	protein_coding
PPP2R2C	1539.105656	-0.546486375	0.08311582	-6.574998293	4.87E-11	3.69E-09	chr4	6320578	6563600	ENSG00000074211	protein_coding	PPP2R2C	ENSG00000074211	protein_coding
PCNX1	3382.945406	-0.479004771	0.0728805	-6.572468209	4.95E-11	3.73E-09	chr14	70907405	71115382	ENSG00000100731	protein_coding	PCNX	ENSG00000100731	protein_coding
MIDN	5953.535531	0.480981254	0.073265618	6.564897203	5.21E-11	3.91E-09	chr19	1248553	1259140	ENSG00000167470	protein_coding	MIDN	ENSG00000167470	protein_coding
ARNT2	366.0682736	-0.894130528	0.136776353	-6.537171888	6.27E-11	4.66E-09	chr15	80404350	80597937	ENSG00000172379	protein_coding	ARNT2	ENSG00000172379	protein_coding
NR4A1	2276.621225	0.627351267	0.09631299	6.513672425	7.33E-11	5.42E-09	chr12	52022832	52059507	ENSG00000123358	protein_coding	NR4A1	ENSG00000123358	protein_coding
LGR4	714.1276469	-0.622320303	0.095687406	-6.50368037	7.84E-11	5.74E-09	chr11	27365961	27472775	ENSG00000205213	protein_coding	LGR4	ENSG00000205213	protein_coding
VPS4A	3417.366636	-0.413995591	0.063813256	-6.487611185	8.72E-11	6.35E-09	chr16	69311356	69326939	ENSG00000132612	protein_coding	VPS4A	ENSG00000132612	protein_coding
IFIT5	324.28527	-0.80402952	0.124043517	-6.481834259	9.06E-11	6.57E-09	chr10	89414586	89421001	ENSG00000152778	protein_coding	IFIT5	ENSG00000152778	protein_coding
