Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	start	stop	gene_id.107	gene_type.107	gene_name.84	gene_id.84	gene_type.84
KPNB1	31244.01646	-0.414482854	0.017534566	-23.63804461	1.57E-123	7.64E-121	chr17	47649476	47685505	ENSG00000108424	protein_coding	KPNB1	ENSG00000108424	protein_coding
SYK	448.8020229	-1.809203881	0.07706933	-23.4750175	7.34E-122	3.51E-119	chr9	90801787	90898549	ENSG00000165025	protein_coding	SYK	ENSG00000165025	protein_coding
RPA1	6697.298376	-0.603060204	0.025877849	-23.30410906	4.03E-120	1.85E-117	chr17	1829702	1900082	ENSG00000132383	protein_coding	RPA1	ENSG00000132383	protein_coding
HCCS	1118.259964	-1.032883465	0.044453658	-23.23506109	2.01E-119	9.08E-117	chrX	11111301	11123078	ENSG00000004961	protein_coding	HCCS	ENSG00000004961	protein_coding
RPL15	58225.13977	0.385159729	0.016588378	23.21864869	2.95E-119	1.31E-116	chr3	23916545	23923692	ENSG00000174748	protein_coding	RPL15	ENSG00000174748	protein_coding
SLC35B4	4458.737965	-0.594535308	0.025745039	-23.09319906	5.42E-118	2.35E-115	chr7	134289332	134317051	ENSG00000205060	protein_coding	SLC35B4	ENSG00000205060	protein_coding
CTSL	1023.155541	-1.400851367	0.06117959	-22.89736458	4.94E-116	2.11E-113	chr9	87725519	87731393	ENSG00000135047	protein_coding	CTSL	ENSG00000135047	protein_coding
UBE2J1	2566.387279	-0.851117502	0.038037277	-22.37587907	6.76E-111	2.74E-108	chr6	89326625	89352848	ENSG00000198833	protein_coding	UBE2J1	ENSG00000198833	protein_coding
NDFIP1	2843.396858	-0.658224218	0.029579319	-22.25285237	1.06E-109	4.21E-107	chr5	142108505	142154443	ENSG00000131507	protein_coding	NDFIP1	ENSG00000131507	protein_coding
TFDP1	8702.78401	0.418604498	0.018833814	22.22622018	1.92E-109	7.50E-107	chr13	113584721	113641470	ENSG00000198176	protein_coding	TFDP1	ENSG00000198176	protein_coding
PDPN	638.9975578	-1.416143976	0.064090975	-22.09584068	3.47E-108	1.29E-105	chr1	13583465	13617957	ENSG00000162493	protein_coding	PDPN	ENSG00000162493	protein_coding
BEX3	10934.79057	0.441888011	0.020304979	21.76254499	5.25E-105	1.93E-102	chrX	103376340	103378077	ENSG00000166681	protein_coding	NGFRAP1	ENSG00000166681	protein_coding
DEGS1	5844.298949	-0.515434376	0.023825398	-21.63382021	8.63E-104	3.12E-101	chr1	224175756	224193441	ENSG00000143753	protein_coding	DEGS1	ENSG00000143753	protein_coding
EIF4EBP2	14571.95743	0.352821259	0.016387249	21.53023174	8.11E-103	2.89E-100	chr10	70404379	70428618	ENSG00000148730	protein_coding	EIF4EBP2	ENSG00000148730	protein_coding
PDIA4	9014.868064	-0.436398736	0.020298873	-21.49866791	1.60E-102	5.63E-100	chr7	149003062	149028641	ENSG00000155660	protein_coding	PDIA4	ENSG00000155660	protein_coding
GALNT1	4897.807862	-0.777627972	0.036276665	-21.43603793	6.16E-102	2.13E-99	chr18	35581117	35711834	ENSG00000141429	protein_coding	GALNT1	ENSG00000141429	protein_coding
VIM	32102.55956	0.501479237	0.023398048	21.43252436	6.65E-102	2.27E-99	chr10	17228259	17237593	ENSG00000026025	protein_coding	VIM	ENSG00000026025	protein_coding
PROSER1	6752.076366	0.490878892	0.022932609	21.40527892	1.19E-101	3.96E-99	chr13	39009866	39038076	ENSG00000120685	protein_coding	PROSER1	ENSG00000120685	protein_coding
B3GNT5	476.1996642	-1.5857347	0.074259544	-21.3539516	3.58E-101	1.17E-98	chr3	183253244	183298504	ENSG00000176597	protein_coding	B3GNT5	ENSG00000176597	protein_coding
LAMP1	4921.962637	0.600470829	0.028375352	21.16170494	2.15E-99	6.95E-97	chr13	113297241	113323672	ENSG00000185896	protein_coding	LAMP1	ENSG00000185896	protein_coding
MALAT1	16641.61966	0.924026054	0.043863002	21.06618371	1.63E-98	5.18E-96	chr11	65497762	65506516	ENSG00000251562	lncRNA	MALAT1	ENSG00000251562	lincRNA
CALD1	3848.959809	-0.597326702	0.028460047	-20.98825422	8.40E-98	2.64E-95	chr7	134744252	134970728	ENSG00000122786	protein_coding	CALD1	ENSG00000122786	protein_coding
GLOD4	2586.661664	-0.671395793	0.032219897	-20.83792472	1.96E-96	6.08E-94	chr17	757097	783390	ENSG00000167699	protein_coding	GLOD4	ENSG00000167699	protein_coding
ARRDC4	707.7341138	-1.127148575	0.055089907	-20.46016467	4.88E-93	1.49E-90	chr15	97960698	97973838	ENSG00000140450	protein_coding	ARRDC4	ENSG00000140450	protein_coding
PHKA2	872.0455511	-1.111009712	0.054434527	-20.4100185	1.36E-92	4.12E-90	chrX	18892300	18984598	ENSG00000044446	protein_coding	PHKA2	ENSG00000044446	protein_coding
AKAP1	6651.263894	0.51792113	0.025417915	20.37622394	2.72E-92	8.12E-90	chr17	57085092	57121349	ENSG00000121057	protein_coding	AKAP1	ENSG00000121057	protein_coding
TCAF1	5178.358751	-0.537238191	0.026592763	-20.20242063	9.32E-91	2.72E-88	chr7	143851375	143902198	ENSG00000198420	protein_coding	TCAF1	ENSG00000198420	protein_coding
SLC16A14	171.2477653	-2.661554019	0.132107869	-20.1468243	2.87E-90	8.26E-88	chr2	230034974	230068999	ENSG00000163053	protein_coding	SLC16A14	ENSG00000163053	protein_coding
LDHA	33392.92163	-0.421053263	0.020926324	-20.12074695	4.86E-90	1.38E-87	chr11	18394388	18408425	ENSG00000134333	protein_coding	LDHA	ENSG00000134333	protein_coding
PRRC2C	20597.92514	-0.363083943	0.018053978	-20.11102208	5.91E-90	1.66E-87	chr1	171485551	171593511	ENSG00000117523	protein_coding	PRRC2C	ENSG00000117523	protein_coding
CDC27	7237.679481	-0.658261777	0.032781201	-20.08046582	1.09E-89	3.00E-87	chr17	47117703	47189422	ENSG00000004897	protein_coding	CDC27	ENSG00000004897	protein_coding
ACSL1	1008.608001	-1.242157167	0.062286316	-19.94269773	1.73E-88	4.65E-86	chr4	184755595	184826818	ENSG00000151726	protein_coding	ACSL1	ENSG00000151726	protein_coding
VDAC1	10935.88484	-0.410136036	0.020599556	-19.90994585	3.34E-88	8.86E-86	chr5	133971915	134005133	ENSG00000213585	protein_coding	VDAC1	ENSG00000213585	protein_coding
PNMA8A	1757.280795	-0.815617998	0.040988963	-19.89847824	4.19E-88	1.10E-85	chr19	46466491	46471563	ENSG00000182013	protein_coding	PNMAL1	ENSG00000182013	protein_coding
RPL22L1	2079.714803	-0.901287787	0.045404741	-19.85008115	1.10E-87	2.86E-85	chr3	170864875	170870483	ENSG00000163584	protein_coding	RPL22L1	ENSG00000163584	protein_coding
PFKP	3145.320463	0.689547463	0.034860789	19.78003058	4.42E-87	1.14E-84	chr10	3066333	3137712	ENSG00000067057	protein_coding	PFKP	ENSG00000067057	protein_coding
SLC7A1	11037.83744	0.459338277	0.023395744	19.63341222	8.01E-86	2.01E-83	chr13	29509410	29595688	ENSG00000139514	protein_coding	SLC7A1	ENSG00000139514	protein_coding
PABPC1	51866.29929	0.398458024	0.020348452	19.5817362	2.21E-85	5.51E-83	chr8	100685816	100722809	ENSG00000070756	protein_coding	PABPC1	ENSG00000070756	protein_coding
ATXN7L3B	4748.313371	-0.588991293	0.030088209	-19.57548545	2.50E-85	6.16E-83	chr12	74537827	74545430	ENSG00000253719	protein_coding	ATXN7L3B	ENSG00000253719	protein_coding
EEF1G	74550.38646	0.276212649	0.014178884	19.48056355	1.61E-84	3.87E-82	chr11	62559601	62574086	ENSG00000254772	protein_coding	EEF1G	ENSG00000254772	protein_coding
MRS2	2904.415252	-0.629784976	0.032385118	-19.44674039	3.11E-84	7.42E-82	chr6	24402908	24426194	ENSG00000124532	protein_coding	MRS2	ENSG00000124532	protein_coding
GLO1	16322.12534	-0.389983185	0.020186228	-19.31926937	3.70E-83	8.75E-81	chr6	38675925	38703141	ENSG00000124767	protein_coding	GLO1	ENSG00000124767	protein_coding
GTPBP6	1436.761793	-0.89922677	0.04692764	-19.16198565	7.69E-82	1.78E-79	chrX	304529	318819	ENSG00000178605	protein_coding	GTPBP6	ENSG00000178605	protein_coding
SRPRB	3026.398362	-0.612625862	0.03206395	-19.10637554	2.23E-81	5.08E-79	chr3	133784033	133825772	ENSG00000144867	protein_coding	SRPRB	ENSG00000144867	protein_coding
PIGA	1193.279763	-1.058559519	0.055447893	-19.09106857	3.00E-81	6.69E-79	chrX	15319451	15335580	ENSG00000165195	protein_coding	PIGA	ENSG00000165195	protein_coding
ZFX	2130.631276	-0.818590963	0.042952017	-19.05826592	5.61E-81	1.24E-78	chrX	24149173	24216255	ENSG00000005889	protein_coding	ZFX	ENSG00000005889	protein_coding
MAP2K4	1901.540897	-0.707961058	0.037154275	-19.05463263	6.01E-81	1.32E-78	chr17	12020824	12143830	ENSG00000065559	protein_coding	MAP2K4	ENSG00000065559	protein_coding
FOXC1	14530.06179	0.57645524	0.030297783	19.02631777	1.03E-80	2.24E-78	chr6	1609972	1613897	ENSG00000054598	protein_coding	FOXC1	ENSG00000054598	protein_coding
RIPOR1	669.145099	-1.153229195	0.060637043	-19.01855911	1.20E-80	2.58E-78	chr16	67518418	67546788	ENSG00000039523	protein_coding	FAM65A	ENSG00000039523	protein_coding
ABCF2	6873.75685	-0.436702864	0.022981032	-19.00275257	1.62E-80	3.45E-78	chr7	151207837	151227230	ENSG00000033050	protein_coding	ABCF2	ENSG00000033050	protein_coding
PLCXD1	2169.56198	-0.836050586	0.044155201	-18.93436251	5.94E-80	1.26E-77	chrX	276322	303356	ENSG00000182378	protein_coding	PLCXD1	ENSG00000182378	protein_coding
OGFRL1	1508.228383	-0.809810857	0.0428527	-18.89754565	1.19E-79	2.50E-77	chr6	71288803	71308950	ENSG00000119900	protein_coding	OGFRL1	ENSG00000119900	protein_coding
POGLUT3	3624.077228	-0.530478918	0.028152076	-18.84333205	3.33E-79	6.92E-77	chr11	108472105	108498432	ENSG00000178202	protein_coding	KDELC2	ENSG00000178202	protein_coding
HSPD1	54512.18921	-0.433658969	0.023336448	-18.58290347	4.42E-77	9.02E-75	chr2	197486581	197516737	ENSG00000144381	protein_coding	HSPD1	ENSG00000144381	protein_coding
RPL18A	26451.28668	0.495606041	0.027002834	18.35385249	3.08E-75	6.22E-73	chr19	17859876	17864153	ENSG00000105640	protein_coding	RPL18A	ENSG00000105640	protein_coding
ALDH5A1	1986.249927	-0.679081081	0.037032573	-18.33739947	4.16E-75	8.35E-73	chr6	24494852	24537207	ENSG00000112294	protein_coding	ALDH5A1	ENSG00000112294	protein_coding
LRRC58	6363.655187	-0.514463504	0.028061631	-18.33334308	4.48E-75	8.93E-73	chr3	120324509	120349339	ENSG00000163428	protein_coding	LRRC58	ENSG00000163428	protein_coding
MID2	870.7940267	-1.041913023	0.056862704	-18.32331122	5.39E-75	1.06E-72	chrX	107825755	107927193	ENSG00000080561	protein_coding	MID2	ENSG00000080561	protein_coding
RPS3	40636.69773	0.295576995	0.016174723	18.27400608	1.33E-74	2.59E-72	chr11	75399486	75422280	ENSG00000149273	protein_coding	RPS3	ENSG00000149273	protein_coding
HSPA5	17561.22847	-0.313619624	0.01717538	-18.25983558	1.73E-74	3.33E-72	chr9	125234853	125241330	ENSG00000044574	protein_coding	HSPA5	ENSG00000044574	protein_coding
IARS2	10692.78534	-0.449408618	0.024695359	-18.19810029	5.34E-74	1.02E-71	chr1	220094102	220148041	ENSG00000067704	protein_coding	IARS2	ENSG00000067704	protein_coding
DGKH	2411.768799	0.796916207	0.043988967	18.11627463	2.37E-73	4.49E-71	chr13	42040036	42256578	ENSG00000102780	protein_coding	DGKH	ENSG00000102780	protein_coding
RPS15	20987.93616	0.460244164	0.025545709	18.01649587	1.45E-72	2.68E-70	chr19	1438358	1440494	ENSG00000115268	protein_coding	RPS15	ENSG00000115268	protein_coding
ESYT2	4624.258471	-0.466150556	0.025917869	-17.98568253	2.52E-72	4.63E-70	chr7	158730995	158830253	ENSG00000117868	protein_coding	ESYT2	ENSG00000117868	protein_coding
RPS6	75889.56325	0.298135442	0.016579982	17.98164999	2.71E-72	4.95E-70	chr9	19375715	19380254	ENSG00000137154	protein_coding	RPS6	ENSG00000137154	protein_coding
DIS3L	1659.715207	-0.718828897	0.039976996	-17.98106353	2.74E-72	4.96E-70	chr15	66293217	66333898	ENSG00000166938	protein_coding	DIS3L	ENSG00000166938	protein_coding
SYAP1	4425.742745	-0.582220781	0.03247825	-17.9264826	7.33E-72	1.32E-69	chrX	16719632	16765336	ENSG00000169895	protein_coding	SYAP1	ENSG00000169895	protein_coding
MVB12B	256.055719	-1.703334813	0.095041049	-17.922096	7.93E-72	1.41E-69	chr9	126326849	126507041	ENSG00000196814	protein_coding	MVB12B	ENSG00000196814	protein_coding
PSMA1	5493.006338	-0.43121399	0.024202851	-17.81666101	5.25E-71	9.15E-69	chr11	14504874	14643635	ENSG00000129084	protein_coding	PSMA1	ENSG00000129084	protein_coding
ME1	859.0246517	-1.104280769	0.062137692	-17.77151235	1.17E-70	2.03E-68	chr6	83210389	83431071	ENSG00000065833	protein_coding	ME1	ENSG00000065833	protein_coding
KDELR1	6627.526003	-0.491490509	0.027778309	-17.69331998	4.72E-70	8.05E-68	chr19	48382570	48391553	ENSG00000105438	protein_coding	KDELR1	ENSG00000105438	protein_coding
TM9SF2	9496.445071	0.381836687	0.021622735	17.6590376	8.67E-70	1.45E-67	chr13	99501417	99564006	ENSG00000125304	protein_coding	TM9SF2	ENSG00000125304	protein_coding
FAM50A	3443.651097	0.521177614	0.029553576	17.63501029	1.33E-69	2.20E-67	chrX	154444126	154450654	ENSG00000071859	protein_coding	FAM50A	ENSG00000071859	protein_coding
BPNT2	4891.957407	-0.496368406	0.028153332	-17.63089363	1.43E-69	2.35E-67	chr8	56957933	56993844	ENSG00000104331	protein_coding	IMPAD1	ENSG00000104331	protein_coding
IDH3A	3979.420454	-0.740752071	0.042116747	-17.58806484	3.04E-69	4.87E-67	chr15	78131498	78171949	ENSG00000166411	protein_coding	IDH3A	ENSG00000166411	protein_coding
SHMT2	8507.904016	0.44479457	0.025408644	17.50563958	1.30E-68	2.05E-66	chr12	57229327	57234935	ENSG00000182199	protein_coding	SHMT2	ENSG00000182199	protein_coding
POLR1A	5915.839078	-0.494494379	0.028563304	-17.31222625	3.80E-67	5.90E-65	chr2	86020216	86106155	ENSG00000068654	protein_coding	POLR1A	ENSG00000068654	protein_coding
ATP5MC3	7466.175295	-0.455192606	0.026367734	-17.26324335	8.90E-67	1.37E-64	chr2	175176258	175184607	ENSG00000154518	protein_coding	ATP5G3	ENSG00000154518	protein_coding
PABPN1	6890.810555	0.377751217	0.021932684	17.2232095	1.78E-66	2.72E-64	chr14	23321289	23326185	ENSG00000100836	protein_coding	PABPN1	ENSG00000100836	protein_coding
GAL	1309.144101	-0.825252179	0.048049126	-17.17517573	4.07E-66	6.20E-64	chr11	68683779	68691175	ENSG00000069482	protein_coding	GAL	ENSG00000069482	protein_coding
TARDBP	11248.93512	-0.369323503	0.021641485	-17.06553401	2.68E-65	4.05E-63	chr1	11012344	11026420	ENSG00000120948	protein_coding	TARDBP	ENSG00000120948	protein_coding
FURIN	1180.242664	-0.773119984	0.045439396	-17.0143102	6.43E-65	9.54E-63	chr15	90868592	90883458	ENSG00000140564	protein_coding	FURIN	ENSG00000140564	protein_coding
H1-0	7294.579889	0.419575075	0.024732036	16.96484166	1.50E-64	2.20E-62	chr22	37805093	37807436	ENSG00000189060	protein_coding	H1F0	ENSG00000189060	protein_coding
GEMIN4	3342.708611	-0.675379437	0.039811705	-16.96434362	1.51E-64	2.21E-62	chr17	744414	753999	ENSG00000179409	protein_coding	GEMIN4	ENSG00000179409	protein_coding
DDX17	41542.24346	0.292735616	0.017256564	16.96372562	1.52E-64	2.22E-62	chr22	38483440	38507660	ENSG00000100201	protein_coding	DDX17	ENSG00000100201	protein_coding
CD9	716.547334	-1.078070285	0.063934754	-16.86203851	8.56E-64	1.24E-61	chr12	6199715	6238271	ENSG00000010278	protein_coding	CD9	ENSG00000010278	protein_coding
RAPGEF1	1482.665222	-0.747211226	0.044345144	-16.84989973	1.05E-63	1.51E-61	chr9	131576770	131740074	ENSG00000107263	protein_coding	RAPGEF1	ENSG00000107263	protein_coding
TTC26	1426.296804	-0.681372134	0.040569662	-16.79511478	2.65E-63	3.79E-61	chr7	139133744	139191986	ENSG00000105948	protein_coding	TTC26	ENSG00000105948	protein_coding
CEP192	1130.602456	-0.981753201	0.058477864	-16.78845868	2.96E-63	4.21E-61	chr18	12991362	13125052	ENSG00000101639	protein_coding	CEP192	ENSG00000101639	protein_coding
TARS3	1093.471909	-0.836381324	0.049891603	-16.76396961	4.48E-63	6.33E-61	chr15	101653598	101724604	ENSG00000185418	protein_coding	TARSL2	ENSG00000185418	protein_coding
QPRT	1871.294582	0.952814202	0.056857042	16.75806841	4.94E-63	6.95E-61	chr16	29679008	29698699	ENSG00000103485	protein_coding	QPRT	ENSG00000103485	protein_coding
LRRC41	1933.588167	-0.661717637	0.039554915	-16.72908751	8.05E-63	1.12E-60	chr1	46261196	46303608	ENSG00000132128	protein_coding	LRRC41	ENSG00000132128	protein_coding
RAC3	3831.912326	0.722497644	0.043232269	16.71199907	1.07E-62	1.49E-60	chr17	82031624	82034204	ENSG00000169750	protein_coding	RAC3	ENSG00000169750	protein_coding
RAB9A	790.8537716	-0.892695187	0.053432515	-16.70696545	1.17E-62	1.61E-60	chrX	13689121	13710506	ENSG00000123595	protein_coding	RAB9A	ENSG00000123595	protein_coding
CPPED1	104.6396609	-3.080969239	0.184588287	-16.69103324	1.52E-62	2.09E-60	chr16	12659799	12804017	ENSG00000103381	protein_coding	CPPED1	ENSG00000103381	protein_coding
RPL41	39403.51367	0.365695346	0.021933635	16.67281067	2.07E-62	2.80E-60	chr12	56116586	56117943	ENSG00000229117	protein_coding	RPL41	ENSG00000229117	protein_coding
F2R	772.4848496	-0.876131058	0.052566052	-16.6672411	2.27E-62	3.06E-60	chr5	76716043	76735781	ENSG00000181104	protein_coding	F2R	ENSG00000181104	protein_coding
KIAA1549	1297.088649	-0.724852248	0.043592219	-16.62801921	4.37E-62	5.83E-60	chr7	138831381	138981318	ENSG00000122778	protein_coding	KIAA1549	ENSG00000122778	protein_coding
ACLY	24017.62719	-0.387725443	0.023342981	-16.60993685	5.91E-62	7.84E-60	chr17	41866908	41930542	ENSG00000131473	protein_coding	ACLY	ENSG00000131473	protein_coding
ATP9A	1652.22659	-0.702821422	0.042318332	-16.60796623	6.10E-62	8.05E-60	chr20	51596514	51768634	ENSG00000054793	protein_coding	ATP9A	ENSG00000054793	protein_coding
MGARP	177.8694781	-1.975047484	0.119147808	-16.57644839	1.03E-61	1.35E-59	chr4	139266163	139280338	ENSG00000137463	protein_coding	MGARP	ENSG00000137463	protein_coding
NUP205	17004.13353	-0.373435132	0.022582045	-16.53681669	1.99E-61	2.56E-59	chr7	135557919	135648757	ENSG00000155561	protein_coding	NUP205	ENSG00000155561	protein_coding
H3-3A	31301.04897	0.275390016	0.016658898	16.53110618	2.19E-61	2.80E-59	chr1	226061851	226072001	ENSG00000163041	protein_coding	H3F3A	ENSG00000163041	protein_coding
CCNI	12505.25028	0.347443692	0.021021236	16.52822386	2.30E-61	2.92E-59	chr4	77047158	77076005	ENSG00000118816	protein_coding	CCNI	ENSG00000118816	protein_coding
GFPT1	2340.183942	-0.594557946	0.036016378	-16.50798824	3.21E-61	4.06E-59	chr2	69319769	69387254	ENSG00000198380	protein_coding	GFPT1	ENSG00000198380	protein_coding
AGK	3463.959334	-0.565914058	0.034317008	-16.49077506	4.27E-61	5.34E-59	chr7	141551189	141655244	ENSG00000006530	protein_coding	AGK	ENSG00000006530	protein_coding
KAT6B	3738.90029	0.448485445	0.027286257	16.43631246	1.05E-60	1.30E-58	chr10	74825582	75032622	ENSG00000156650	protein_coding	KAT6B	ENSG00000156650	protein_coding
SLC39A6	4656.142916	-0.466672195	0.028420356	-16.42035015	1.37E-60	1.68E-58	chr18	36108532	36129385	ENSG00000141424	protein_coding	SLC39A6	ENSG00000141424	protein_coding
HTRA1	224.3145805	-1.979799331	0.120630309	-16.41212192	1.57E-60	1.92E-58	chr10	122461525	122514908	ENSG00000166033	protein_coding	HTRA1	ENSG00000166033	protein_coding
SOGA1	803.2834606	-0.934041483	0.056920157	-16.40967872	1.63E-60	1.99E-58	chr20	36777442	36863686	ENSG00000149639	protein_coding	SOGA1	ENSG00000149639	protein_coding
FADS2	3976.21855	0.570703667	0.034795852	16.40148545	1.87E-60	2.26E-58	chr11	61792980	61867354	ENSG00000134824	protein_coding	FADS2	ENSG00000134824	protein_coding
RFK	1917.170811	-0.623694872	0.038053275	-16.3900444	2.25E-60	2.72E-58	chr9	76385517	76394517	ENSG00000135002	protein_coding	RFK	ENSG00000135002	protein_coding
ANKRD40	3445.74915	-0.536804632	0.032820213	-16.3559156	3.95E-60	4.74E-58	chr17	50693190	50707924	ENSG00000154945	protein_coding	ANKRD40	ENSG00000154945	protein_coding
CKAP4	2765.492008	-0.573769976	0.03510382	-16.3449442	4.73E-60	5.64E-58	chr12	106237877	106304279	ENSG00000136026	protein_coding	CKAP4	ENSG00000136026	protein_coding
KLF6	1938.534942	0.625406692	0.038263785	16.34461137	4.75E-60	5.65E-58	chr10	3775996	3785281	ENSG00000067082	protein_coding	KLF6	ENSG00000067082	protein_coding
EPB41L1	1177.848071	-0.708314326	0.043339897	-16.34323975	4.86E-60	5.75E-58	chr20	36091504	36232799	ENSG00000088367	protein_coding	EPB41L1	ENSG00000088367	protein_coding
PTMS	3591.740009	0.869960955	0.053274284	16.32984796	6.05E-60	7.12E-58	chr12	6765516	6770952	ENSG00000159335	protein_coding	PTMS	ENSG00000159335	protein_coding
UBE3C	6871.132118	-0.373903268	0.022916915	-16.31560185	7.64E-60	8.95E-58	chr7	157138913	157269372	ENSG00000009335	protein_coding	UBE3C	ENSG00000009335	protein_coding
ABCA3	3412.368516	0.62320113	0.038222915	16.30438534	9.19E-60	1.07E-57	chr16	2275881	2340746	ENSG00000167972	protein_coding	ABCA3	ENSG00000167972	protein_coding
SNHG3	3941.402306	0.475539591	0.029166993	16.30403237	9.24E-60	1.07E-57	chr1	28505980	28510892	ENSG00000242125	lncRNA	SNHG3	ENSG00000242125	sense_intronic
NONO	36061.08674	0.238471448	0.014636653	16.29275766	1.11E-59	1.28E-57	chrX	71283192	71301168	ENSG00000147140	protein_coding	NONO	ENSG00000147140	protein_coding
