Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	start	stop	gene_id.107	gene_type.107	gene_name.84	gene_id.84	gene_type.84
LRP5	3362.567755	-0.819289513	0.041335432	-19.82051416	1.98E-87	4.97E-85	chr11	68312609	68449275	ENSG00000162337	protein_coding	LRP5	ENSG00000162337	protein_coding
RAPGEF1	1391.324715	-1.198089643	0.060504972	-19.80150731	2.89E-87	7.15E-85	chr9	131576770	131740074	ENSG00000107263	protein_coding	RAPGEF1	ENSG00000107263	protein_coding
ADCK2	1358.425257	-1.204912389	0.061000708	-19.7524327	7.64E-87	1.87E-84	chr7	140673153	140696261	ENSG00000133597	protein_coding	ADCK2	ENSG00000133597	protein_coding
SSH1	1320.307908	-1.245940812	0.063084619	-19.75031047	7.97E-87	1.92E-84	chr12	108778192	108857590	ENSG00000084112	protein_coding	SSH1	ENSG00000084112	protein_coding
DDR1	4752.468418	-0.768145359	0.038932333	-19.73026795	1.19E-86	2.82E-84	chr6	30876421	30900156	ENSG00000204580	protein_coding	DDR1	ENSG00000204580	protein_coding
GTSE1	1977.66942	-1.034246098	0.05251111	-19.69575753	2.34E-86	5.51E-84	chr22	46296741	46330810	ENSG00000075218	protein_coding	GTSE1	ENSG00000075218	protein_coding
HMGCS1	5948.865696	0.656627848	0.033510002	19.59498099	1.71E-85	3.96E-83	chr5	43289395	43313512	ENSG00000112972	protein_coding	HMGCS1	ENSG00000112972	protein_coding
NIPSNAP2	2217.321655	-0.955585393	0.04887165	-19.55295944	3.89E-85	8.93E-83	chr7	55951793	56000181	ENSG00000146729	protein_coding	GBAS	ENSG00000146729	protein_coding
TOP2B	7039.348229	-0.730864637	0.037636185	-19.4192011	5.31E-84	1.20E-81	chr3	25597905	25664907	ENSG00000077097	protein_coding	TOP2B	ENSG00000077097	protein_coding
FAM83D	4123.042632	-0.732322528	0.03786565	-19.34002287	2.47E-83	5.54E-81	chr20	38926312	38953106	ENSG00000101447	protein_coding	FAM83D	ENSG00000101447	protein_coding
CIZ1	2193.567749	-0.939779518	0.048717482	-19.29039615	6.47E-83	1.43E-80	chr9	128166064	128204383	ENSG00000148337	protein_coding	CIZ1	ENSG00000148337	protein_coding
LMNB1	8649.098916	-0.711222071	0.037145322	-19.14701599	1.02E-81	2.19E-79	chr5	126776623	126837020	ENSG00000113368	protein_coding	LMNB1	ENSG00000113368	protein_coding
TACC3	4525.959832	-0.731150861	0.038312276	-19.08398383	3.43E-81	7.25E-79	chr4	1721490	1745176	ENSG00000013810	protein_coding	TACC3	ENSG00000013810	protein_coding
SELENON	1627.966072	-1.059747914	0.055606635	-19.05794	5.65E-81	1.18E-78	chr1	25800176	25818224	ENSG00000162430	protein_coding	SEPN1	ENSG00000162430	protein_coding
CUL1	3534.863251	-0.839058204	0.044114205	-19.02013665	1.16E-80	2.37E-78	chr7	148697914	148801036	ENSG00000055130	protein_coding	CUL1	ENSG00000055130	protein_coding
NAE1	2630.686298	-1.031871888	0.054283347	-19.00899536	1.44E-80	2.91E-78	chr16	66802875	66873256	ENSG00000159593	protein_coding	NAE1	ENSG00000159593	protein_coding
FBXW4	806.4030324	-1.523173125	0.080319406	-18.96394909	3.39E-80	6.78E-78	chr10	101610664	101695295	ENSG00000107829	protein_coding	FBXW4	ENSG00000107829	protein_coding
TUBB4B	15348.33458	-0.520968277	0.027477827	-18.95958804	3.68E-80	7.29E-78	chr9	137241213	137243707	ENSG00000188229	protein_coding	TUBB4B	ENSG00000188229	protein_coding
ZYG11B	1761.117087	-1.037591964	0.055434438	-18.71746168	3.57E-78	6.99E-76	chr1	52726467	52827342	ENSG00000162378	protein_coding	ZYG11B	ENSG00000162378	protein_coding
AK3	1713.424734	-1.047975434	0.056043556	-18.69930309	5.02E-78	9.72E-76	chr9	4709559	4742043	ENSG00000147853	protein_coding	AK3	ENSG00000147853	protein_coding
MAPK9	2615.821114	-0.958494857	0.051317581	-18.67770911	7.52E-78	1.44E-75	chr5	180233143	180292099	ENSG00000050748	protein_coding	MAPK9	ENSG00000050748	protein_coding
TICRR	1563.411991	-1.099271186	0.059098343	-18.60071083	3.17E-77	6.02E-75	chr15	89575482	89631056	ENSG00000140534	protein_coding	TICRR	ENSG00000140534	protein_coding
ATP11B	4716.578824	-0.740216406	0.040019454	-18.49641421	2.21E-76	4.15E-74	chr3	182793500	182921635	ENSG00000058063	protein_coding	ATP11B	ENSG00000058063	protein_coding
DOCK7	3428.353154	-0.849436474	0.046050261	-18.44585561	5.63E-76	1.05E-73	chr1	62454726	62688368	ENSG00000116641	protein_coding	DOCK7	ENSG00000116641	protein_coding
CTSL	2185.418106	-0.904759878	0.049054966	-18.44379805	5.85E-76	1.08E-73	chr9	87725519	87731393	ENSG00000135047	protein_coding	CTSL	ENSG00000135047	protein_coding
ADAMTS1	23294.98003	0.492261309	0.026719061	18.4236006	8.50E-76	1.55E-73	chr21	26835747	26845409	ENSG00000154734	protein_coding	ADAMTS1	ENSG00000154734	protein_coding
TOP2A	8924.119531	-0.74761984	0.040624532	-18.40316173	1.24E-75	2.24E-73	chr17	40388516	40417950	ENSG00000131747	protein_coding	TOP2A	ENSG00000131747	protein_coding
PCNX1	1462.032097	-1.117084579	0.060710888	-18.40006976	1.31E-75	2.35E-73	chr14	70907405	71115382	ENSG00000100731	protein_coding	PCNX	ENSG00000100731	protein_coding
BPNT2	5578.22897	-0.683118463	0.037163299	-18.38153452	1.85E-75	3.28E-73	chr8	56957933	56993844	ENSG00000104331	protein_coding	IMPAD1	ENSG00000104331	protein_coding
CENPE	3754.104174	-0.997088991	0.054481722	-18.30134859	8.07E-75	1.42E-72	chr4	103105806	103198409	ENSG00000138778	protein_coding	CENPE	ENSG00000138778	protein_coding
MCM3	5051.137739	-0.781000128	0.042711955	-18.28528171	1.08E-74	1.89E-72	chr6	52264009	52284881	ENSG00000112118	protein_coding	MCM3	ENSG00000112118	protein_coding
EXOC5	6374.437892	-0.747756719	0.04091008	-18.27805579	1.24E-74	2.14E-72	chr14	57200507	57269008	ENSG00000070367	protein_coding	EXOC5	ENSG00000070367	protein_coding
HIRIP3	1606.182581	-1.037362712	0.056761434	-18.27583684	1.29E-74	2.20E-72	chr16	29992321	29996436	ENSG00000149929	protein_coding	HIRIP3	ENSG00000149929	protein_coding
DEGS1	20452.19825	-0.512543585	0.028052842	-18.27064757	1.42E-74	2.40E-72	chr1	224175756	224193441	ENSG00000143753	protein_coding	DEGS1	ENSG00000143753	protein_coding
TENT4A	1542.691337	-1.189581707	0.065269151	-18.22578801	3.22E-74	5.36E-72	chr5	6713007	6757048	ENSG00000112941	protein_coding	PAPD7	ENSG00000112941	protein_coding
RAD54L	1217.579472	-1.133077253	0.062453878	-18.14262436	1.47E-73	2.42E-71	chr1	46247688	46278473	ENSG00000085999	protein_coding	RAD54L	ENSG00000085999	protein_coding
BAMBI	3714.424939	0.717262361	0.039688282	18.07239633	5.26E-73	8.60E-71	chr10	28677342	28682939	ENSG00000095739	protein_coding	BAMBI	ENSG00000095739	protein_coding
ARHGAP21	1567.780284	-1.188628429	0.065937236	-18.02666453	1.20E-72	1.93E-70	chr10	24583609	24723668	ENSG00000107863	protein_coding	ARHGAP21	ENSG00000107863	protein_coding
STRADB	866.8108723	-1.316960095	0.073092896	-18.01762087	1.42E-72	2.26E-70	chr2	201387858	201480846	ENSG00000082146	protein_coding	STRADB	ENSG00000082146	protein_coding
BRI3BP	3324.859388	-0.83098856	0.046154266	-18.00458836	1.79E-72	2.83E-70	chr12	124993700	125031231	ENSG00000184992	protein_coding	BRI3BP	ENSG00000184992	protein_coding
CRTAP	2577.864355	-0.945542717	0.052588618	-17.97998783	2.80E-72	4.34E-70	chr3	33113979	33147773	ENSG00000170275	protein_coding	CRTAP	ENSG00000170275	protein_coding
MAD2L1	2598.802808	-0.900816824	0.050212236	-17.94018548	5.73E-72	8.83E-70	chr4	120055608	120067074	ENSG00000164109	protein_coding	MAD2L1	ENSG00000164109	protein_coding
EXT2	1524.309124	-1.053775424	0.058806159	-17.91947386	8.31E-72	1.27E-69	chr11	44095549	44245429	ENSG00000151348	protein_coding	EXT2	ENSG00000151348	protein_coding
DEK	11197.48267	-0.638922672	0.035700361	-17.89681271	1.25E-71	1.89E-69	chr6	18223868	18264823	ENSG00000124795	protein_coding	DEK	ENSG00000124795	protein_coding
SLC16A14	1096.344785	-1.182494705	0.066477808	-17.78781144	8.78E-71	1.29E-68	chr2	230034974	230068999	ENSG00000163053	protein_coding	SLC16A14	ENSG00000163053	protein_coding
LMNB2	6502.733629	-0.581094005	0.032686374	-17.77786712	1.05E-70	1.53E-68	chr19	2427638	2456996	ENSG00000176619	protein_coding	LMNB2	ENSG00000176619	protein_coding
ARL2BP	1028.0706	-1.256192444	0.070763571	-17.75196516	1.66E-70	2.39E-68	chr16	57245098	57253635	ENSG00000102931	protein_coding	ARL2BP	ENSG00000102931	protein_coding
GABARAP	7758.607603	0.642577	0.036227767	17.73714056	2.17E-70	3.09E-68	chr17	7240014	7242770	ENSG00000170296	protein_coding	GABARAP	ENSG00000170296	protein_coding
POLQ	3000.733806	-0.829192527	0.04688195	-17.68681825	5.30E-70	7.49E-68	chr3	121431427	121546641	ENSG00000051341	protein_coding	POLQ	ENSG00000051341	protein_coding
PTBP3	3358.680586	-0.800501122	0.045302912	-17.6699707	7.14E-70	1.00E-67	chr9	112217716	112333667	ENSG00000119314	protein_coding	PTBP3	ENSG00000119314	protein_coding
SNRPA1	2892.327933	-0.773604914	0.04390304	-17.62075958	1.71E-69	2.38E-67	chr15	101281510	101295282	ENSG00000131876	protein_coding	SNRPA1	ENSG00000131876	protein_coding
TP53INP2	2235.420805	0.857677912	0.04872712	17.60165411	2.39E-69	3.31E-67	chr20	34704290	34713439	ENSG00000078804	protein_coding	TP53INP2	ENSG00000078804	protein_coding
SMO	362.6074164	-2.035697329	0.115799477	-17.57950366	3.54E-69	4.82E-67	chr7	129188872	129213545	ENSG00000128602	protein_coding	SMO	ENSG00000128602	protein_coding
EEA1	1892.938865	-1.081404913	0.061562621	-17.56593347	4.49E-69	6.08E-67	chr12	92770637	92929331	ENSG00000102189	protein_coding	EEA1	ENSG00000102189	protein_coding
MORC4	1923.357341	-0.961476273	0.054933391	-17.50258374	1.37E-68	1.84E-66	chrX	106813871	107000244	ENSG00000133131	protein_coding	MORC4	ENSG00000133131	protein_coding
LRP3	2728.073176	-0.864584206	0.049515122	-17.46101321	2.84E-68	3.79E-66	chr19	33177603	33208867	ENSG00000130881	protein_coding	LRP3	ENSG00000130881	protein_coding
EPN3	4002.035421	-0.761886068	0.043659389	-17.4506811	3.40E-68	4.50E-66	chr17	50532543	50543750	ENSG00000049283	protein_coding	EPN3	ENSG00000049283	protein_coding
PARP1	12499.51143	-0.501480603	0.028900525	-17.35195504	1.91E-67	2.47E-65	chr1	226360691	226408079	ENSG00000143799	protein_coding	PARP1	ENSG00000143799	protein_coding
ZC3H7B	3213.141528	-0.706227905	0.040712116	-17.3468731	2.08E-67	2.68E-65	chr22	41301522	41360147	ENSG00000100403	protein_coding	ZC3H7B	ENSG00000100403	protein_coding
PYGO1	1571.862033	-1.050074136	0.060778558	-17.27704909	7.00E-67	8.96E-65	chr15	55538890	55588947	ENSG00000171016	protein_coding	PYGO1	ENSG00000171016	protein_coding
ESPL1	2029.815631	-0.908319042	0.052642688	-17.25441994	1.04E-66	1.32E-64	chr12	53268299	53293643	ENSG00000135476	protein_coding	ESPL1	ENSG00000135476	protein_coding
AHCYL1	5836.433094	-0.608571722	0.035284533	-17.24754944	1.17E-66	1.47E-64	chr1	109984686	110023741	ENSG00000168710	protein_coding	AHCYL1	ENSG00000168710	protein_coding
MCMBP	3901.616509	-0.670011241	0.038894904	-17.22619601	1.69E-66	2.12E-64	chr10	119829404	119892556	ENSG00000197771	protein_coding	MCMBP	ENSG00000197771	protein_coding
TCAF1	5824.113283	-0.652684748	0.037933543	-17.20600545	2.39E-66	2.98E-64	chr7	143851375	143902198	ENSG00000198420	protein_coding	TCAF1	ENSG00000198420	protein_coding
KLHL42	2244.772547	-0.835191295	0.048619486	-17.17811855	3.87E-66	4.76E-64	chr12	27780020	27803040	ENSG00000087448	protein_coding	KLHL42	ENSG00000087448	protein_coding
MAGEF1	3204.092204	-0.749686399	0.044000922	-17.03797031	4.29E-65	5.21E-63	chr3	184710367	184712002	ENSG00000177383	protein_coding	MAGEF1	ENSG00000177383	protein_coding
DVL3	4197.42503	-0.686472286	0.04031523	-17.02761662	5.12E-65	6.18E-63	chr3	184155388	184173610	ENSG00000161202	protein_coding	DVL3	ENSG00000161202	protein_coding
CPD	5373.08427	-0.726488967	0.042726404	-17.00327908	7.77E-65	9.30E-63	chr17	30378905	30469989	ENSG00000108582	protein_coding	CPD	ENSG00000108582	protein_coding
EGFR	10621.3993	-0.575403234	0.03384877	-16.9992359	8.32E-65	9.90E-63	chr7	55019021	55256620	ENSG00000146648	protein_coding	EGFR	ENSG00000146648	protein_coding
ATAD2	12588.30465	-0.667352835	0.039294731	-16.98326505	1.09E-64	1.29E-62	chr8	123319850	123416350	ENSG00000156802	protein_coding	ATAD2	ENSG00000156802	protein_coding
ICMT	5473.139284	-0.628686286	0.037040568	-16.97291162	1.30E-64	1.53E-62	chr1	6221193	6235972	ENSG00000116237	protein_coding	ICMT	ENSG00000116237	protein_coding
OSBPL5	2965.259442	-0.768180602	0.045286455	-16.96270118	1.55E-64	1.81E-62	chr11	3087116	3166739	ENSG00000021762	protein_coding	OSBPL5	ENSG00000021762	protein_coding
PLOD1	5456.486725	-0.591813612	0.034912654	-16.95126398	1.88E-64	2.19E-62	chr1	11934205	11975538	ENSG00000083444	protein_coding	PLOD1	ENSG00000083444	protein_coding
NUP210	7079.459155	-0.579967988	0.034250449	-16.93314968	2.56E-64	2.96E-62	chr3	13316235	13420309	ENSG00000132182	protein_coding	NUP210	ENSG00000132182	protein_coding
QSER1	4013.972475	-0.766727612	0.045365609	-16.90107617	4.42E-64	5.07E-62	chr11	32893178	32993316	ENSG00000060749	protein_coding	QSER1	ENSG00000060749	protein_coding
TMEM106C	6397.285386	-0.558748224	0.033096757	-16.88226499	6.08E-64	6.93E-62	chr12	47963569	47968878	ENSG00000134291	protein_coding	TMEM106C	ENSG00000134291	protein_coding
KIAA1549	1699.164148	-0.931487937	0.055427671	-16.80546785	2.23E-63	2.52E-61	chr7	138831381	138981318	ENSG00000122778	protein_coding	KIAA1549	ENSG00000122778	protein_coding
TPX2	6395.248545	-0.662209322	0.03950047	-16.76459357	4.43E-63	4.99E-61	chr20	31739271	31801805	ENSG00000088325	protein_coding	TPX2	ENSG00000088325	protein_coding
FADS1	5683.357779	-0.637401464	0.038080913	-16.73808271	6.92E-63	7.74E-61	chr11	61799625	61829318	ENSG00000149485	protein_coding	FADS1	ENSG00000149485	protein_coding
SLC38A2	16995.79065	0.554250138	0.033281103	16.65359898	2.85E-62	3.17E-60	chr12	46358189	46372867	ENSG00000134294	protein_coding	SLC38A2	ENSG00000134294	protein_coding
BAHCC1	893.8529017	-1.228483749	0.073789976	-16.64838263	3.11E-62	3.44E-60	chr17	81395475	81466332	ENSG00000266074	protein_coding	BAHCC1	ENSG00000266074	protein_coding
TMPRSS2	13518.61549	0.520907455	0.031314751	16.63457123	3.92E-62	4.31E-60	chr21	41464551	41531116	ENSG00000184012	protein_coding	TMPRSS2	ENSG00000184012	protein_coding
MAP4K4	3513.293625	-0.695762228	0.04183407	-16.63147365	4.12E-62	4.51E-60	chr2	101696850	101894689	ENSG00000071054	protein_coding	MAP4K4	ENSG00000071054	protein_coding
PLEKHB2	7420.862864	0.552282611	0.033219166	16.62542092	4.56E-62	4.96E-60	chr2	131104847	131353709	ENSG00000115762	protein_coding	PLEKHB2	ENSG00000115762	protein_coding
IRAK1	8022.001535	-0.521086336	0.031366356	-16.61290653	5.62E-62	6.07E-60	chrX	154010500	154019980	ENSG00000184216	protein_coding	IRAK1	ENSG00000184216	protein_coding
TCF19	2040.119855	-0.887559296	0.05345932	-16.60251758	6.68E-62	7.18E-60	chr6	31158542	31167159	ENSG00000137310	protein_coding	TCF19	ENSG00000137310	protein_coding
EML1	855.7097255	-1.216492595	0.073365368	-16.581292	9.52E-62	1.02E-59	chr14	99737693	99942060	ENSG00000066629	protein_coding	EML1	ENSG00000066629	protein_coding
APPL1	2828.632436	-0.72856089	0.043948492	-16.57760854	1.01E-61	1.07E-59	chr3	57227737	57273468	ENSG00000157500	protein_coding	APPL1	ENSG00000157500	protein_coding
CMTM4	1829.522765	-0.952342323	0.057482789	-16.56743429	1.20E-61	1.27E-59	chr16	66614750	66696707	ENSG00000183723	protein_coding	CMTM4	ENSG00000183723	protein_coding
