Gene	Final_XCI_Call
OPN1LW	No call
OPN1MW	No call
OPN1MW2	No call
OPN1MW3	No call
OR13H1	No call
OTUD6A	No call
PABPC1L2A	No call
PABPC1L2B	No call
PABPC1L2B-AS1	No call
PABPC5	No call
PABPC5-AS1	No call
PAGE1	No call
PAGE2	No call
PAGE2B	No call
PAGE3	No call
PAGE4	No call
PAGE5	No call
PASD1	No call
PCDH19	No call
PCYT1B-AS1	No call
PGAM4	No call
PHEX-AS1	No call
PHKA1-AS1	No call
PHKA2-AS1	No call
PINCR	No call
PLS3-AS1	No call
PLXNB3-AS1	No call
PNCK	No call
PNMA6E	No call
PNMA6F	No call
PORCN-DT	No call
POU3F4	No call
PPEF1-AS1	No call
PPP1R2C	No call
PPP4R3C	No call
PRKX-AS1	No call
PRR32	No call
PRRG3	No call
PTCHD1-AS	No call
PWWP4	No call
RAB40AL	No call
RAP2C-AS1	No call
RBMXL3	No call
RHOXF1	No call
RHOXF1-AS1	No call
RHOXF2B	No call
RNF128	No call
RPA4	No call
RPL36A-HNRNPH2	No call
RTL3	No call
RTL8B	No call
SAGE1	No call
SERPINA7	No call
SERTM2	No call
SLC25A5-AS1	No call
SLC6A14	No call
SLC6A8	No call
SLC7A3	No call
SLITRK2	No call
SLITRK4	No call
SMIM10L2A	No call
SMIM10L2B	No call
SMIM10L2B-AS1	No call
SMIM9	No call
SOX3	No call
SPACA5	No call
SPACA5B	No call
SPANXA1	No call
SPANXA2	No call
SPANXA2-OT1	No call
SPANXB1	No call
SPANXC	No call
SPANXD	No call
SPANXN1	No call
SPANXN2	No call
SPANXN3	No call
SPANXN4	No call
SPANXN5	No call
SPIN2B	No call
SPIN4	No call
SPIN4-AS1	No call
SSX1	No call
SSX2	No call
SSX2B	No call
SSX3	No call
SSX4	No call
SSX4B	No call
SSX5	No call
SSX7	No call
STAG2-AS1	No call
SUPT20HL1	No call
SUPT20HL2	No call
SYP-AS1	No call
TAB3-AS1	No call
TAB3-AS2	No call
TBX22	No call
TCEAL3-AS1	No call
TCEAL5	No call
TCEAL6	No call
TCP11X1	No call
TCP11X2	No call
TDGF1P3	No call
TENT5D	No call
TEX11	No call
TEX13A	No call
TEX13B	No call
TEX13C	No call
TEX13D	No call
TEX28	No call
TFDP3	No call
TGIF2LX	No call
TLR8	No call
TMEM31	No call
TMLHE-AS1	No call
TMSB15B-AS1	No call
TNMD	No call
TRMT2B-AS1	No call
TRPC5OS	No call
TSIX	No call
UBE2NL	No call
USP26	No call
USP27X	No call
USP27X-DT	No call
UXT-AS1	No call
VCX	No call
VCX2	No call
VCX3A	No call
VCX3B	No call
VSIG1	No call
VSIG4	No call
WASH6P	No call
WASIR1	No call
WWC3-AS1	No call
XACT	No call
XAGE1A	No call
XAGE1B	No call
XAGE2	No call
XAGE3	No call
XAGE5	No call
XIAP-AS1	No call
XK	No call
XKRX	No call
ZCCHC12	No call
ZCCHC13	No call
ZCCHC18	No call
ZFP92	No call
ZFX-AS1	No call
ZIC3	No call
ZNF630-AS1	No call
ZNF674-AS1	No call
ABCB7	Subject
ABCD1	Subject
ACE2	Subject
ACOT9	Subject
ACSL4	Subject
ADGRG2	Subject
AGTR2	Subject
AIFM1	Subject
AKAP14	Subject
AKAP4	Subject
ALAS2	Subject
AMMECR1	Subject
AMOT	Subject
ANOS1	Subject
APEX2	Subject
APLN	Subject
APOO	Subject
APOOL	Subject
AR	Subject
ARAF	Subject
ARHGAP36	Subject
ARHGAP4	Subject
ARHGAP6	Subject
ARHGEF6	Subject
ARL13A	Subject
ARMCX1	Subject
ARMCX2	Subject
ARMCX3	Subject
ARMCX4	Subject
ARMCX5	Subject
ARMCX6	Subject
ARR3	Subject
ASB11	Subject
ASB12	Subject
ASB9	Subject
ATG4A	Subject
ATP11C	Subject
ATP6AP1	Subject
ATP6AP2	Subject
ATP7A	Subject
ATRX	Subject
AVPR2	Subject
AWAT1	Subject
BCAP31	Subject
BCLAF3	Subject
BCOR	Subject
BCORL1	Subject
BEX2	Subject
BEX3	Subject
BEX4	Subject
BGN	Subject
BHLHB9	Subject
BRCC3	Subject
BRWD3	Subject
BTK	Subject
C1GALT1C1	Subject
CACNA1F	Subject
CAPN6	Subject
CASK	Subject
CCDC120	Subject
CCDC22	Subject
CCNB3	Subject
CCNQ	Subject
CD40LG	Subject
CD99L2	Subject
CDKL5	Subject
CDR1	Subject
CENPI	Subject
CETN2	Subject
CFP	Subject
CHIC1	Subject
CHRDL1	Subject
CHST7	Subject
CITED1	Subject
CLCN4	Subject
CLCN5	Subject
CLDN2	Subject
CLIC2	Subject
CLTRN	Subject
CNKSR2	Subject
COL4A5	Subject
CSTF2	Subject
CTPS2	Subject
CUL4B	Subject
CXCR3	Subject
CXorf58	Subject
CXorf65	Subject
CXorf66	Subject
CYBB	Subject
CYSLTR1	Subject
DACH2	Subject
DCX	Subject
DGAT2L6	Subject
DGKK	Subject
DIAPH2	Subject
DIPK2B	Subject
DKC1	Subject
DLG3	Subject
DMD	Subject
DNASE1L1	Subject
DOCK11	Subject
DRP2	Subject
DUSP9	Subject
DYNLT3	Subject
EBP	Subject
EDA	Subject
EDA2R	Subject
EFHC2	Subject
EFNB1	Subject
EGFL6	Subject
ELF4	Subject
ELK1	Subject
EMD	Subject
ENOX2	Subject
EOLA1	Subject
EOLA2	Subject
EOLA2-DT	Subject
ERCC6L	Subject
F8	Subject
FAAH2	Subject
FAM104B	Subject
FAM120C	Subject
FAM133A	Subject
FAM156A	Subject
FAM199X	Subject
FAM3A	Subject
FAM50A	Subject
FANCB	Subject
FGD1	Subject
FGF13	Subject
FHL1	Subject
FIRRE	Subject
FLNA	Subject
FMR1	Subject
FMR1-AS1	Subject
FOXP3	Subject
FTSJ1	Subject
FTX	Subject
FUNDC2	Subject
G6PD	Subject
GAB3	Subject
GABRA3	Subject
GABRE	Subject
GATA1	Subject
GCNA	Subject
GDI1	Subject
GK	Subject
GLA	Subject
GLRA2	Subject
GLUD2	Subject
GNL3L	Subject
GPC3	Subject
GPC4	Subject
GPKOW	Subject
GPR143	Subject
GPR34	Subject
GPR82	Subject
GPRASP2	Subject
GRIA3	Subject
GRIPAP1	Subject
GRPR	Subject
GSPT2	Subject
GUCY2F	Subject
HAUS7	Subject
HCCS	Subject
HDAC6	Subject
HDAC8	Subject
HDX	Subject
HEPH	Subject
HMGB3	Subject
HMGN5	Subject
HNRNPH2	Subject
HPRT1	Subject
HSD17B10	Subject
HTATSF1	Subject
IDH3G	Subject
IDS	Subject
IGBP1	Subject
IGSF1	Subject
IL13RA1	Subject
IL9R	Subject
INTS6L	Subject
IQSEC2	Subject
IRAK1	Subject
ITM2A	Subject
JADE3	Subject
KCND1	Subject
KCNE5	Subject
KIAA1210	Subject
KIF4A	Subject
KLF8	Subject
KLHL13	Subject
KLHL15	Subject
KRBOX4	Subject
L1CAM	Subject
LAGE3	Subject
LAMP2	Subject
LAS1L	Subject
LDOC1	Subject
LHFPL1	Subject
LINC01204	Subject
LINC01278	Subject
LONRF3	Subject
LRCH2	Subject
MAGEA11	Subject
MAGED1	Subject
MAGED2	Subject
MAGEH1	Subject
MAGIX	Subject
MAGT1	Subject
MAMLD1	Subject
MAOB	Subject
MAP3K15	Subject
MAP7D3	Subject
MBNL3	Subject
MBTPS2	Subject
MCF2	Subject
MCTS1	Subject
MECP2	Subject
MED12	Subject
MID1	Subject
MID1IP1	Subject
MID2	Subject
MIR503HG	Subject
MMGT1	Subject
MORC4	Subject
MORF4L2	Subject
MOSPD1	Subject
MOSPD2	Subject
MPP1	Subject
MSN	Subject
MTCP1	Subject
MTM1	Subject
MTMR1	Subject
MTMR8	Subject
NAP1L2	Subject
NAP1L3	Subject
NBDY	Subject
NDUFA1	Subject
NDUFB11	Subject
NEXMIF	Subject
NHSL2	Subject
NKAP	Subject
NKRF	Subject
NLGN3	Subject
NLGN4X	Subject
NONO	Subject
NRK	Subject
NSDHL	Subject
NUDT10	Subject
NUDT11	Subject
NUP62CL	Subject
NXT2	Subject
NYX	Subject
OCRL	Subject
OGT	Subject
OPHN1	Subject
OTC	Subject
OTUD5	Subject
P2RY4	Subject
PABIR2	Subject
PABIR3	Subject
PAK3	Subject
PBDC1	Subject
PCDH11X	Subject
PCSK1N	Subject
PCYT1B	Subject
PDHA1	Subject
PDK3	Subject
PDZD4	Subject
PGK1	Subject
PGRMC1	Subject
PHEX	Subject
PHF6	Subject
PHF8	Subject
PHKA1	Subject
PHKA2	Subject
PIGA	Subject
PIM2	Subject
PIN4	Subject
PIR	Subject
PJA1	Subject
PLP1	Subject
PLP2	Subject
PLS3	Subject
PLXNA3	Subject
PLXNB3	Subject
PNMA3	Subject
PNMA5	Subject
PNMA6A	Subject
POF1B	Subject
POLA1	Subject
PORCN	Subject
PPP1R3F	Subject
PRAF2	Subject
PRDX4	Subject
PRICKLE3	Subject
PRPS1	Subject
PRPS2	Subject
PRRG1	Subject
PSMD10	Subject
PTCHD1	Subject
PWWP3B	Subject
RAB33A	Subject
RAB39B	Subject
RAB40A	Subject
RAB41	Subject
RAB9A	Subject
RAB9B	Subject
RADX	Subject
RAI2	Subject
RAP2C	Subject
RBM10	Subject
RBM3	Subject
RBM41	Subject
RBMX	Subject
RBMX2	Subject
RENBP	Subject
RGN	Subject
RHOXF2	Subject
RIBC1	Subject
RIPPLY1	Subject
RLIM	Subject
RNF113A	Subject
RP2	Subject
RPGR	Subject
RPL10	Subject
RPL36A	Subject
RPL39	Subject
RPS6KA3	Subject
RPS6KA6	Subject
RRAGB	Subject
RS1	Subject
RTL4	Subject
RTL5	Subject
RTL8A	Subject
RTL8C	Subject
RTL9	Subject
SASH3	Subject
SAT1	Subject
SATL1	Subject
SCML1	Subject
SH2D1A	Subject
SH3BGRL	Subject
SH3KBP1	Subject
SHROOM2	Subject
SHROOM4	Subject
SLC10A3	Subject
SLC16A2	Subject
SLC25A14	Subject
SLC25A43	Subject
SLC25A5	Subject
SLC25A53	Subject
SLC35A2	Subject
SLC38A5	Subject
SLC9A6	Subject
SLC9A7	Subject
SMARCA1	Subject
SMIM10	Subject
SMPX	Subject
SMS	Subject
SNX12	Subject
SOWAHD	Subject
SPIN2A	Subject
SPIN3	Subject
SPRY3	Subject
SRPK3	Subject
SRPX	Subject
SRPX2	Subject
SSR4	Subject
STAG2	Subject
STARD8	Subject
STEEP1	Subject
SUV39H1	Subject
SYN1	Subject
SYP	Subject
SYTL4	Subject
SYTL5	Subject
TAB3	Subject
TAF1	Subject
TAF7L	Subject
TAF9B	Subject
TAFAZZIN	Subject
TBC1D25	Subject
TBC1D8B	Subject
TBL1X	Subject
TCEAL1	Subject
TCEAL2	Subject
TCEAL3	Subject
TCEAL4	Subject
TCEAL7	Subject
TCEAL8	Subject
TENM1	Subject
TFE3	Subject
THOC2	Subject
TIMM17B	Subject
TIMM8A	Subject
TIMP1	Subject
TKTL1	Subject
TLR7	Subject
TLR8-AS1	Subject
TMEM164	Subject
TMEM185A	Subject
TMEM187	Subject
TMEM255A	Subject
TMEM35A	Subject
TMEM47	Subject
TMLHE	Subject
TMSB15A	Subject
TMSB15B	Subject
TREX2	Subject
TRMT2B	Subject
TRO	Subject
TSC22D3	Subject
TSPAN6	Subject
TSPAN7	Subject
TSPYL2	Subject
TSR2	Subject
UBE2A	Subject
UBL4A	Subject
UPF3B	Subject
UPRT	Subject
USP11	Subject
USP51	Subject
UTP14A	Subject
UXT	Subject
VAMP7	Subject
VBP1	Subject
VEGFD	Subject
VGLL1	Subject
VMA21	Subject
WDR13	Subject
WDR44	Subject
WDR45	Subject
WNK3	Subject
WWC3	Subject
XIAP	Subject
XPNPEP2	Subject
YIPF6	Subject
YY2	Subject
ZBTB33	Subject
ZC3H12B	Subject
ZC4H2	Subject
ZDHHC15	Subject
ZDHHC9	Subject
ZMAT1	Subject
ZMYM3	Subject
ZNF182	Subject
ZNF185	Subject
ZNF275	Subject
ZNF280C	Subject
ZNF41	Subject
ZNF449	Subject
ZNF630	Subject
ZNF674	Subject
ZNF711	Subject
ZNF75D	Subject
ZNF81	Subject
ZXDA	Subject
ZXDB	Subject
