gene	deltaEx.x	deltaEx.y	deltaEx_LCL	deltaEx_Fib	start
17440	CXorf65	0.0875755360024992	0.0780578241629631	0.0278072845485368	NA	71103889
11398	CYBB	-0.314679647148022	0.0269813406234969	0.0879859717226991	NA	37780011
13255	CYSLTR1	0.0190297085019677	0.00838301075506403	-0.0581508653354298	NA	78271464
22306	DANT2	0.0267565994776284	0.00217165953818598	0.113941076093735	NA	115917271
11441	DDX26B	-0.0737533709078977	-0.012564568992494	-0.0127128752778108	-0.138091083448837	135520659
18320	DDX3X	0.227090523269103	0.377313695050113	0.257297961491184	0.164251090357313	41333348
12345	DHRSX	0.77443317765164	1.02589539938298	0.967259754137355	1.11564566829162	2219516
18590	DHRSX-IT1	0.0956574564098621	0.474781964238218	NA	NA	2334295
8852	DIAPH2	-0.0895975070279639	0.119760240418827	-0.0327751497542474	0.00791959274502276	96684663
22616	DIAPH2-AS1	0.0153596895718933	-0.0225477419767796	NA	NA	97431286
6290	DKC1	-0.0203907870309126	0.00957722748842013	0.0220255098390467	-0.0148207619618495	154762742
1559	DLG3	0.0611275728052376	NA	0.175574675536348	0.0740312546165953	70444861
21138	DLG3-AS1	-0.104123059259266	NA	NA	NA	70452958
15366	DMRTC1B	0.0628428521340572	NA	NA	NA	72777009
338	DNASE1L1	-0.000882057934858492	0.0720570694856934	-0.0960308066494319	0.00633366451972942	154401238
8859	DOCK11	-0.0250064112235682	0.0551236809269979	-0.00710392333166942	-0.00479532336348689	118495898
11399	DYNLT3	-0.0269081859736257	-0.00327080440658776	-0.00888057874333161	-0.0271292520665469	37836757
8843	EBP	0.0125730300184734	0.0091463696288637	-0.0740186006351968	0.00820345891790977	48521158
10154	EDA	-0.286946077130406	NA	NA	NA	69616067
15114	EFHC2	0.0614674733939124	0.255248885899388	NA	NA	44147882
1886	EFNB1	-0.159476229885311	0.119754999761116	NA	0.116618086175393	68828997
13354	EIF1AX	0.598038534801085	0.531568827215281	0.510866118985773	0.564920697874324	20124518
19049	EIF1AX-AS1	2.0028137014032	1.3555337715167	NA	NA	20139968
6265	EIF2S3	0.231639809720185	0.106530283786631	0.219755516488625	0.316112202703917	24054716
2598	ELF4	0.0274603393606753	0.0428478217214547	-0.023697203215122	0.0295233803696432	130064874
5793	ELK1	0.0889653392031384	0.0479770956032207	-0.0280676849992135	0.0110150262909033	47635521
2615	EMD	0.0648997463565083	0.0291826444978497	-0.000983546922983634	0.0500798462288606	154379197
11516	ENOX2	-0.0637035995906909	0.0556464666248202	0.00236012033829359	-0.00831708333765228	130623369
15395	F8	-0.100800211570667	0.00764148492155935	-0.134126072200874	-0.176645482978404	154835788
33690	F8A1	-0.0183230466507642	-0.118444025400794	-0.0170761333570939	-0.0582661202487321	154886349
32895	F8A3	0.106598414332711	0.0586945239694567	-0.0570888898416363	0.0889955997696036	155456914
11494	FAAH2	-0.0700473134140588	NA	0.230172121675795	NA	57286706
14859	FAM104B	-0.0111058407941566	0.0921931148706917	0.0283788358342549	-0.0112988774213498	55143102
15200	FAM120C	-0.0570554292279977	-0.0781094911916127	0.0771643216590822	0.0220334322409639	54068324
9886	FAM122B	0.00983395602655074	-0.0245193964772023	0.0212281399200174	0.0332109125490142	134769566
9884	FAM122C	-0.0973828514111371	-0.0202868285783999	-0.0245223886815056	0.0766734615239964	134796789
6855	FAM127A	-0.0224049083807808	0.0152448646360829	-0.0771468412155124	-0.00823568782291068	135032366
17384	FAM127B	-0.0433741925470693	0.0271296443468631	-0.0919843624849398	9.03890814757145e-05	135050932
30718	FAM156A	-0.0577247219231985	-0.0890045232684687	0.00669380654956478	-0.0479351883388197	52926402
14342	FAM156B	0.0622558502034736	0.00977410953750613	0.0692167616585754	-0.0207225996707764	52891306
5358	FAM199X	-0.00392427886232552	0.0116810563757993	-0.0114399256971111	-0.00464372093154593	104166620
33266	FAM223A	0.00281219313909268	-0.0737038501904589	NA	NA	154571248
31797	FAM223B	0.00281219313909268	-0.0737038501904589	NA	NA	154632470
1159	FAM3A	0.0662313348003276	0.0390309151358793	-0.00192973333968916	-0.0207132250220596	154506159
1158	FAM50A	-0.0569716245509706	-0.0295803945708165	-0.0390424700815141	-0.00571416531220416	154444126
29441	FAM58A	0.00746915685721693	0.0824722717898135	0.00720791867028066	0.0162370843331594	153587919
2640	FGD1	0.0444247702464598	NA	NA	0.0717928152456435	54445454
6109	FGF13	-3.27393495541796e-05	0.0818437468243307	NA	-0.0211749947143885	138614731
412	FHL1	0.0599606209836951	-0.104494721166018	0.549135263828831	0.465016144410603	136146702
18066	FIRRE	-0.0734322874695012	NA	NA	NA	131702650
16627	FLNA	0.0614056381450269	-0.0959912208979505	-0.0274064878891963	-0.0295719990991803	154348524
2608	FMR1	0.0289121138194773	0.0557250542128853	-0.0393988654215117	0.0179162077946924	147911951
22647	FMR1-IT1	0.0742239743753935	0.0378744890644476	-0.0214713707628348	-0.138198506944295	147946941
15284	FOXO4	0.0548200044221417	-0.0771008234477775	0.0218479026668451	-0.0153894278188276	71096197
665	FOXP3	-0.124549007263334	NA	NA	NA	49250436
1038	FTSJ1	-0.0293334902145091	0.0280919825556747	0.00851874012127507	-0.0195888287750166	48476021
20806	FTX	0.0840556069225909	0.0017559826687452	0.102816501721791	-0.0353123575472604	73963955
1072	FUNDC1	0.0786584148065297	0.113422231402372	0.265901869348854	0.0244320588725715	44523639
11539	FUNDC2	-0.0951276720212518	0.158393110079237	-0.0464046661187004	0.0116484600782481	155025980
10328	G6PD	0.0108575164022663	-0.0237685296062075	-0.0345428187942427	-0.0327989529735523	154531391
10333	GAB3	0.00818013034812948	-0.0520681235514668	NA	NA	154675249
22786	GAGE12B	0.0629711126772346	NA	NA	NA	49529869
17368	GDI1	-0.0137232018965982	-0.0727335820895414	-0.0308535436671665	-0.0553410274037789	154436913
605	GEMIN8	-0.010510331642999	0.0165686419811698	0.115026473587142	0.481067173957797	14008279
17179	GK	-0.108001482280607	0.145846711577106	-0.0399127186943607	0.0650118673205803	30653359
23740	GK-AS1	0.470701728049211	0.0255666360948835	NA	NA	30699998
20407	GK-IT1	-0.15103017977828	0.228302191615154	NA	NA	30671635
2654	GLA	-0.065677390810903	0.0652236570685742	-0.0964368267986933	0.00822016503026403	101397803
6148	GNL3L	-0.0730197983772842	-0.0438058632062436	-0.0228901081335643	-0.0692232037591533	54530211
1036	GPKOW	-0.0857211988893537	-0.0493004359017288	-0.0318771278343473	-0.0260836840533135	49113389
607	GPM6B	-0.0750945306441213	NA	NA	NA	13771031
8839	GPR174	-0.0337848978963841	NA	0.574802143325672	NA	79170972
12926	GPR82	0.0102718329285803	0.0547186338150891	NA	NA	41724155
17245	GPRASP1	0.100816880404486	NA	NA	0.0398646713759296	102651366
10091	GPRASP2	0.0333462157467175	NA	NA	-0.000367291838734144	102712176
1037	GRIPAP1	-0.0741748218661163	-0.0983872915368516	0.00321296661746067	-0.105992129501677	48973720
16350	GSPT2	-0.0615995557741552	-0.0273312351618756	0.0176449106434997	-0.0247125856633163	51743431
14215	GTPBP6	0.813891103109163	0.551139582745325	0.962403510970816	0.669791283176612	304529
18052	HAUS7	-0.000579498111507724	-0.0391704822364485	0.0264367543167403	-0.0558069543962294	153447666
70	HCCS	-0.0255386425728673	0.0248278899074631	-0.0518088355266786	0.023065512898905	11111301
13134	HCFC1	0.0848963446659523	-0.0479999046094053	0.0503766348994185	-0.00189797788617135	153947553
22471	HCFC1-AS1	-0.0774474833318857	-0.101802144555872	0.116529479324844	0.198945617917066	153969325
1991	HDAC6	-0.00713545128908236	-0.0810557575568424	0.0318837802336411	-0.0529341085772298	48801377
8827	HDAC8	-0.102123017074445	0.0772866847146707	0.0238856702166229	0.0394967382450917	72329516
479	HMGB3	-0.100031833045526	0.268852344577047	-0.0135829519742872	0.0578883952641509	150980509
16986	HMGN5	-0.246776374726804	NA	-0.0823182380802895	-0.180723742627943	81113701
5820	HNRNPH2	-0.0200473364015619	0.133839135633528	0.00688068701859275	0.0036904498561405	101408295
11528	HPRT1	-0.0605436501361412	0.0458979390018135	-0.0452606986851215	0.0147853546208397	134460153
1188	HSD17B10	-0.0125440852384584	0.0481884627163454	-0.0171669304254058	-0.0238690885163994	53431258
2633	HTATSF1	-0.0561784361717654	-0.00227774224868468	-0.00847936374696285	-0.00536734971205365	136497079
1699	HUWE1	-0.0524549789532304	-0.0726253571821167	0.0281362667760879	-0.035514457274671	53532096
1015	IDH3G	-0.0203125503975303	0.0179346413933527	-0.0312353978574778	0.00174893049297241	153785766
263	IDS	-0.013109306539858	-0.012500579474634	-0.0261977627061428	0.034562405205196	149476990
1825	IGBP1	-0.105304799335011	0.0558638120586828	-0.0317542004244598	0.00350199187657061	70133449
17298	IGBP1-AS1	-0.0224777208566185	0.0507770294820538	NA	NA	70163842
18428	IGBP1-AS2	0.0389642552125362	-0.168635657156242	NA	NA	70148582
30919	IKBKG	0.0592990170029594	-0.036365608738584	0.00155940054318161	-0.0180592850920141	154541199
6417	IL13RA1	-0.171523068691606	0.138551960285765	-0.146714069350847	2.77449221784889e-05	118727572
8848	IL2RG	0.0171038373192527	0.0166210137584699	0.0661946230879708	NA	71107404
15466	IL3RA	1.28848833891918	0.915636871710384	0.701941180031533	NA	1336616
19034	INE1	0.164309042017192	0.089183669414152	0.13099760812294	0.0926633550023398	47204921
15226	IRAK1	0.0745148801131568	0.0716168123476672	0.0567513352349558	-0.0126580399792762	154010500
8847	ITGB1BP2	0.0547964897614196	-0.0048005678044608	NA	NA	71301734
1422	ITM2A	-0.124556519522921	0.0295885507393113	0.0967326399132455	NA	79360384
19183	JPX	0.467415671783581	0.225997106952188	0.689147807923106	0.363524765475957	73944324
21441	KANTR	0.0162886502644654	0.100539358187018	-0.0340428374749732	-0.0300657941487272	53094145
5728	KDM5C	0.735680949563711	0.421552912600933	0.729975255109069	0.579208620355218	53191321
22309	KDM5C-IT1	0.772996878549734	0.322265257620814	NA	NA	53212408
8822	KDM6A	0.755636307313188	0.534572906312078	0.828883462023133	0.447811052346307	44873177
2646	KLF8	-0.12810464888171	NA	-0.130498874612771	NA	56232421
13413	KLHL15	-0.0133642095370892	0.0124083928102791	0.0086509374582976	-2.34272745667459e-06	23983720
8833	KRBOX4	-0.0584927219516854	0.0923594181526825	-0.0179588968771381	-0.0101966904793152	46446857
16642	LAGE3	-0.0102143633463393	0.0289209794049425	-0.0581219672407712	-0.104915127582013	154477769
111	LAMP2	0.0334236939850253	0.111923236250204	0.00242461929784428	-0.0197241691325102	120427827
13	LAS1L	0.0130189005627995	-0.0170295150267424	0.00630744475036325	0.00709854104115297	65512582
32266	LCA10	-0.0710897296306316	0.0276864698956182	NA	NA	153880672
14794	LDOC1	-0.177866988869784	NA	NA	-0.141912461327227	141175745
22832	LINC00106	0.791504008243061	0.756619547839272	0.869288890672766	0.717238919487892	1396427
18582	LINC00630	0.0553608847186672	-0.00550965928062017	0.0405241006765684	-0.0156855837410742	102769161
32609	LINC00684	0.0454818368614625	NA	NA	NA	72938163
19402	LINC00685	0.330299210078183	0.0887462105507023	0.265512808059575	0.21522297061869	320990
33539	LINC00891	-0.0217495254490733	0.0967825974876343	0.0741717693398834	NA	71697196
21607	LINC00892	-0.0416756783830218	0.144819578365375	NA	NA	136639543
23598	LINC00893	-0.103322828732236	-0.034266913891381	NA	NA	149527591
22441	LINC00894	-0.0558886706778281	-0.175337883522469	0.0913675787960498	-0.0549067808116494	149938628
19666	LINC01203	-0.0906090343295538	NA	NA	NA	13335241
22360	LINC01278	-0.121679297478214	-0.0985188632707621	0.016817670161647	-0.00244099729035344	63343227
22328	LINC01281	-0.181088843319993	NA	NA	NA	39304956
20018	LINC01402	-0.167720573960864	-0.11247884954294	NA	NA	120117642
17471	LINC01420	-0.0292259151318185	0.0809764328032205	-0.00417254098077088	-0.0560093998374064	56729259
22139	LINC01496	-0.121110806186414	NA	NA	NA	51502090
16578	LINC01560	-0.0793784006516651	-0.116082446968025	0.0388687785848393	-0.057807102124325	47483571
21167	LL0XNC01-116E7.2	0.0254765140270139	NA	NA	NA	103917411
13680	LONRF3	-0.204829335671585	0.474038438257861	NA	NA	118974614
14067	MAGEB10	0.0884197774005219	NA	NA	NA	27807990
14328	MAGED1	0.0244132139423838	-0.153001040508852	0.036672974205518	-0.0169179059401604	51803007
2644	MAGED2	-0.0173793669175436	0.00224211110699699	-0.00427589007921719	-0.0582458823982661	54807599
15904	MAGED4B	-0.327712239245647	NA	NA	-0.173933436868692	52061827
17247	MAGEE1	0.105872979402913	NA	NA	0.233572322170827	76427724
15950	MAGEH1	-0.0348176666777695	0.0588383187659329	0.0523192771718407	0.0037679250871852	55452105
2620	MAGT1	-0.0300864608916196	0.0660173524759215	0.00539901256844419	-0.0348003467602473	77826364
6108	MAP7D3	-0.110250749958339	-0.0177223874122479	-0.0368164811494813	0.0149736890454361	136213220
1349	MBNL3	-0.033733734965821	0.0389129425098142	0.0622189169468734	-0.162705470280818	132369317
313	MBTPS2	0.114619893160645	0.0927861662656695	0.0327601254150468	0.0789629032319309	21839636
21307	MCTS1	-0.077740533750409	0.011297691301644	-0.0242970178467291	-0.0154980681624244	120594010
12338	MECP2	0.00436542054960495	-0.0136150944725493	-0.0183984116916596	-0.0380213551319279	154021573
15316	MED12	-0.0522430905189529	-0.107789253367711	0.0368606606892791	-0.032453494093258	71118556
14474	MED14	0.111842374944784	0.102059634347627	0.0807901647413598	0.0575125726197835	40648306
11401	MID1IP1	-0.0359956489794916	-0.0451362786559293	0.0797719951617491	-0.056993414570677	38801432
23222	MID1IP1-AS1	-0.113897055693029	-0.0245285458801462	0.00280009761190131	-0.104848848049981	38801568
1489	MID2	0.0955490246764724	NA	NA	0.229165838601177	107825755
31137	MIR222HG	-0.252902743365598	1.02644029784205	NA	0.0848260188248574	45745211
12431	MMGT1	-0.000940772266968818	0.020629390186816	-0.0510584504587189	-0.0271475637733885	135962070
6655	MORC4	0.0864416591935646	NA	NA	0.0459797129629666	106813871
5354	MORF4L2	-0.0617249718768027	0.0759059345414866	0.0209425960161883	0.0107533216276898	103675496
20987	MORF4L2-AS1	-0.0463275477485171	NA	NA	NA	103687284
2575	MOSPD1	-0.0863197754358744	-0.0345970689152769	-0.0526242854292704	-0.0237013725845683	134887626
6150	MOSPD2	-0.0286471096029376	-0.0199652310085062	-0.00981840556210417	-0.0139725686377088	14873441
6293	MPP1	0.0574079025624633	0.00935102906595495	0.237244380340534	0.214537642248246	154778684
91	MSL3	0.000600023749040195	-0.0464758909304047	0.25700812564964	-0.0179841599013529	11758159
8824	MSN	0.0552431773223438	0.0125353531781465	0.020956354420603	0.0448152554253041	65588377
18248	MTCP1	0.0897298189970009	0.10073212052374	NA	NA	155061622
12788	MTM1	-0.0213500307169032	0.0599416410515174	0.0343339177076213	0.0552974656632008	150568619
859	MTMR1	-0.0212430806820183	-0.0642414717004654	0.0368653430872233	0.048356828949705	150692971
2600	MTMR8	-0.126010265151389	NA	-0.0160718483410461	NA	64268081
2596	NAA10	0.00422876876467018	0.0260092625227208	0.0529268172108239	0.200890410780112	153929242
15733	NAP1L2	-0.179974689646514	NA	NA	NA	73212299
15701	NAP1L3	-0.194219814061557	NA	NA	-0.0944702717114461	93670930
5582	NDUFA1	-0.0812315739520916	0.0977547057892742	-0.000663069662993991	0.0277796333762518	119871487
8834	NDUFB11	-0.031898904051844	0.0211873905341999	-0.0357170354888477	-0.0278268489060905	47142216
11763	NGFRAP1	-0.164703812780121	-0.0313813425714847	-0.320001978735526	-0.00362345857493457	103376340
17430	NHSL2	0.0545509375923304	-0.0855143524288785	NA	0.122797852617057	71910818
2566	NKAP	0.04949842200997	-0.0507178401795792	0.0112603743589909	0.0144723953146561	119920672
15720	NKRF	0.290606761753408	0.0477294526873481	-0.0224497748875615	-0.0444229385819817	119588337
16445	NLGN3	0.0381454682500579	-0.00654016597094631	NA	NA	71144831
8840	NONO	-0.041823695077989	-0.0071690679274479	-0.00264801738670018	-0.0160920331116499	71283192
8870	NSDHL	-0.00331157987375442	0.0333950390588714	-0.0268521787318478	0.0652134828690496	152830967
2568	NXT2	-0.0118063299635523	0.102588004323117	-0.00221531953554789	-0.028620793320728	109535781
5193	OCRL	-0.0395634628347186	-0.00809828654638705	-0.0186671667019285	0.0172204249163735	129539849
606	OFD1	-0.0323973340151258	-0.102178391583167	0.0922632494921904	0.277558596573499	13734745
8845	OGT	-0.0411916023122557	-0.0678105149593698	0.015982263197532	-0.0590914730035187	71533083
1461	OPHN1	-0.057146457405587	0.0643169584770268	NA	0.112449829048436	68042344
1031	OTUD5	0.0165771538598669	-0.0353766915548899	-0.00461671509810374	-0.0153259145290787	48922028
1421	P2RY10	-0.0529521590427348	NA	0.308440003028904	NA	78945332
14782	P2RY8	1.24371539223572	0.419527154346269	0.893223440114003	NA	1462572
2653	PBDC1	-0.0530817594668713	0.0493829597205947	-0.0242796322408357	0.00221795510395288	76172936
2614	PCSK1N	-0.102349381154775	NA	NA	NA	48831094
6435	PDHA1	-0.0948808318904205	-0.0648388405967741	-0.0426546794125525	0.0071247693840642	19343893
1021	PDK3	-0.00861652613176912	0.00706507065358125	-0.0265551325338583	0.14800395618832	24465221
5019	PDZD11	-0.11086662873874	0.0904562508779159	-0.0688202258603381	-0.0227520159856743	70286595
1017	PDZD4	0.13653278236482	NA	NA	NA	153802166
2618	PGK1	-0.0433124222738002	0.0974646318658642	-0.0078432814981926	-0.0268487994924281	78065188
2563	PGRMC1	-0.0202537206889066	0.0351611393807562	-0.0489415385444067	-0.00801758493160014	119236245
9892	PHF6	-0.0827807671574911	-0.0161989240670312	-0.0298011182312542	-0.0357589229079216	134373253
13213	PHF8	0.017080426679394	-0.0293891535096549	-0.00016872037902814	-0.0297322592327411	53936676
600	PHKA2	0.0258440067438054	-0.0245239605993955	0.0396265798648528	0.0971033470966276	18892300
23134	PHKA2-AS1	-0.0350900123962466	-0.0139560706466755	NA	NA	18890296
11409	PIGA	-0.0695192380494267	-0.00936477015029892	-0.0123043044891459	0.0136443737675299	15319451
2609	PIM2	0.103030401780345	-0.0690896316742791	0.058936421906356	-0.168982658138895	48913182
2641	PIN4	-0.0256518969552256	0.0312389866881975	0.183633503807576	0.216691232492261	72181353
14634	PJA1	-0.13770740476163	-0.0516985414263242	0.0226466239486819	-0.00460056204480665	69160851
14836	PLCXD1	0.659958421230339	0.514741172760282	1.02678714590903	1.2189712583576	276322
2592	PLP2	-0.0208605315071382	-0.0111761860369053	-0.11481005000529	0.0423053067243413	49171926
31432	PLS3-AS1	0.057438471445676	-0.0412951395653113	NA	-0.0522712192421316	115518182
6291	PLXNA3	0.0438734972545039	-0.0356704400662707	0.0429683462783937	-0.0132964905509172	154458281
15159	PNMA3	0.0152699364123924	NA	NA	NA	153056409
158	PNPLA4	0.117814243591719	0.237847244746648	0.821236335360875	0.301383897114469	7898247
2564	POLA1	-0.134806120240375	0.0496134209339845	0.00597273500302327	-0.0053098203811433	24693919
2642	PORCN	0.0779047230934753	0.000927655644985946	-0.0408891658016665	0.0448018181322273	48508962
666	PPP1R3F	0.0161535607752886	NA	-0.0142337977301371	-0.111121342171133	49269843
11933	PPP2R3B	0.75306905898284	0.815595322389063	1.47118237453621	1.07317857783177	333963
2612	PQBP1	-0.011450381168628	0.0132012040456263	-0.0281674642026491	-0.0489243362193267	48897912
23770	PRAF2	-0.00311100903158173	0.027097115500504	-0.00479795417280343	0.0085519072502808	49071156
5302	PRDX4	-0.0517935756599107	0.115414193844138	0.0470932627314031	-0.0548409397330393	23664262
314	PRICKLE3	-0.068022676076613	-0.0819560426404566	-0.0353800721186867	-0.0522477147105481	49175264
15177	PRKX	0.470393041373617	0.400835377273488	0.466814288347407	-0.0808167553710168	3604370
22595	PRKX-AS1	3.46282439517562	0.603489598035067	NA	NA	3659487
8855	PRPS1	-0.0521466472212307	0.0299279041868756	-0.000523522368790791	0.158910998118771	107628424
2573	PRPS2	-0.0835280717382865	0.00359879698101084	0.01203071839209	0.0428228729703241	12791355
6139	PRRG3	0.0624212235623306	0.0114941352544821	NA	NA	151695124
